hash,quantity
0,2
1,2
2,2
3,1
7,3
8,1
11,1
13,1
16,1
17,1
19,1
20,2
21,1
22,2
25,1
42,1
43,2
45,1
49,2
52,2
53,1
55,1
57,1
60,1
61,1
62,2
65,1
66,1
70,1
71,2
72,1
74,2
76,1
77,3
78,1
81,2
84,2
88,1
91,1
93,1
94,2
95,1
96,1
97,1
98,1
99,3
100,1
103,2
104,1
105,1
109,1
110,1
113,1
114,2
115,1
116,3
120,1
121,2
122,1
123,1
124,2
127,2
129,1
130,1
132,1
135,4
136,3
139,1
141,1
145,2
148,1
150,1
153,1
156,1
157,2
159,1
160,1
161,2
163,1
165,1
167,1
168,1
169,2
170,1
173,1
174,2
178,2
180,1
181,1
183,1
185,2
186,1
188,1
190,1
192,2
193,3
194,2
197,3
198,1
203,1
206,1
208,1
209,1
210,2
212,2
215,5
216,2
220,2
221,1
223,1
226,1
229,1
234,1
249,2
250,3
252,1
255,1
259,1
261,1
262,1
266,2
267,1
268,1
269,2
270,1
271,1
277,2
278,1
281,1
282,3
283,1
284,1
285,2
289,1
291,1
296,1
297,3
298,1
299,1
301,1
304,1
305,1
307,2
309,1
312,1
314,1
315,1
324,1
329,2
330,1
331,1
332,2
333,2
339,1
340,1
343,1
344,1
345,2
346,4
348,3
351,1
352,2
358,2
361,1
363,1
364,1
365,3
367,2
368,1
369,1
370,3
371,1
372,1
373,1
375,1
378,1
379,2
381,2
383,1
389,1
390,2
391,2
393,1
394,2
395,1
396,1
400,2
404,2
410,1
411,2
413,2
414,1
416,2
417,1
419,1
420,2
421,1
423,1
427,1
428,3
431,1
433,1
434,1
438,1
439,1
440,1
441,1
444,1
445,1
446,1
449,2
450,2
451,1
452,1
453,1
454,1
455,3
456,1
457,1
458,1
462,1
463,1
466,1
467,1
468,1
469,3
470,2
473,2
474,1
476,1
477,1
478,3
479,1
480,2
482,1
483,2
494,1
495,1
497,1
498,1
502,1
505,1
506,1
509,1
510,4
511,1
513,1
516,1
517,1
518,2
521,1
524,1
526,1
528,2
536,1
537,2
540,1
541,1
547,1
551,1
552,1
554,1
555,1
557,1
560,1
561,1
562,1
564,1
566,1
569,1
570,3
572,2
573,1
576,1
578,1
581,1
583,1
586,1
588,1
589,1
592,1
594,2
595,1
599,1
600,1
601,1
602,2
603,1
605,1
610,1
611,4
612,2
614,4
616,2
619,1
620,1
624,1
626,1
627,1
629,1
631,1
633,1
634,1
635,1
637,1
639,2
640,1
648,2
651,1
652,1
653,1
654,3
655,1
656,2
657,1
658,1
659,1
662,1
665,1
666,2
667,2
670,2
672,1
675,2
678,2
680,1
681,1
682,4
683,1
684,3
685,1
688,1
689,1
690,1
693,1
696,1
697,2
698,1
700,1
702,2
703,1
706,2
712,1
713,1
714,2
716,1
718,1
719,1
724,2
730,3
731,1
733,1
736,2
737,1
738,1
742,1
743,2
744,1
745,2
746,3
747,1
749,1
750,1
752,1
756,1
757,3
762,2
763,1
768,3
769,1
770,1
771,1
773,2
777,2
778,1
779,1
780,2
782,1
784,1
785,2
786,1
788,1
789,2
794,1
795,2
796,1
798,1
799,1
801,1
802,1
804,1
807,1
809,2
813,1
814,1
816,2
818,1
819,2
823,1
824,1
825,1
827,1
828,2
829,1
833,1
837,1
838,2
839,1
840,1
841,1
842,1
843,2
844,2
845,3
847,1
849,1
850,1
851,3
852,2
854,1
859,1
860,1
865,1
868,1
870,1
871,2
874,1
876,1
877,1
879,1
886,1
889,1
890,1
893,2
898,1
899,2
900,1
901,1
903,1
904,1
907,1
908,2
910,2
912,1
913,1
917,1
919,1
920,1
923,1
924,1
925,2
934,1
937,1
940,2
942,1
943,1
945,1
949,1
950,1
957,1
959,1
965,1
967,1
968,2
970,2
971,1
972,3
974,1
976,3
980,1
981,2
983,1
986,1
988,1
989,1
990,1
993,1
994,1
995,1
996,1
998,1
1000,1
1001,1
1002,1
1003,1
1006,3
1007,1
1011,2
1012,2
1014,1
1016,2
1021,1
1022,1
1023,1
1024,1
1026,2
1027,2
1028,1
1031,4
1032,2
1035,2
1037,1
1039,2
1043,1
1046,1
1051,1
1053,2
1055,1
1056,1
1059,2
1064,1
1071,1
1073,1
1074,1
1076,1
1077,1
1082,3
1085,1
1086,1
1093,1
1094,1
1096,2
1097,1
1102,1
1106,1
1108,2
1111,1
1112,1
1114,1
1115,2
1118,1
1123,2
1124,3
