hash,quantity
0,475
1,520
2,503
3,473
4,506
5,461
6,467
7,460
8,528
9,465
10,490
11,453
12,451
13,516
14,457
15,515
16,523
17,506
18,536
19,523
20,511
21,484
22,504
23,502
24,480
25,481
26,518
27,554
28,457
29,502
30,456
31,486
32,465
33,488
34,477
35,483
36,522
37,492
38,482
39,491
40,507
41,503
42,471
43,525
44,505
45,479
46,475
47,506
48,521
49,529
50,518
51,523
52,462
53,491
54,510
55,473
56,495
57,486
58,484
59,473
60,507
61,460
62,483
63,495
64,514
65,505
66,462
67,499
68,506
69,457
70,503
71,482
72,477
73,490
74,490
75,521
76,467
77,497
78,518
79,534
80,490
81,501
82,486
83,493
84,453
85,498
86,494
87,501
88,479
89,491
90,504
91,509
92,503
93,483
94,442
95,540
96,476
97,499
98,481
99,482
100,535
101,541
102,476
103,496
104,540
105,515
106,468
107,515
108,503
109,450
110,502
111,527
112,525
113,504
114,488
115,557
116,466
117,517
118,488
119,506
120,487
121,491
122,517
123,472
124,512
125,524
126,526
127,504
128,485
129,514
130,493
131,507
132,481
133,523
134,515
135,491
136,471
137,532
138,517
139,487
140,491
141,466
142,492
143,522
144,480
145,450
146,507
147,499
148,551
149,477
150,495
151,494
152,502
153,481
154,493
155,496
156,505
157,473
158,481
159,508
160,490
161,484
162,537
163,489
164,478
165,447
166,529
167,473
168,512
169,473
170,472
171,498
172,494
173,537
174,480
175,458
176,496
177,454
178,523
179,462
180,499
181,464
182,454
183,517
184,473
185,491
186,458
187,483
188,510
189,488
190,469
191,477
192,506
193,512
194,519
195,512
196,534
197,477
198,508
199,474
200,470
201,482
202,507
203,464
204,475
205,496
206,491
207,489
208,461
209,489
210,493
211,491
212,513
213,490
214,547
215,525
216,493
217,506
218,469
219,467
220,513
221,449
222,460
223,481
224,511
225,505
226,509
227,502
228,464
229,496
230,487
231,431
232,492
233,477
234,508
235,512
236,503
237,477
238,508
239,498
240,482
241,452
242,519
243,520
244,542
245,514
246,506
247,509
248,513
249,478
250,470
251,494
252,506
253,498
254,501
255,499
256,499
257,502
258,524
259,485
260,487
261,459
262,504
263,468
264,453
265,518
266,530
267,520
268,482
269,489
270,469
271,460
272,467
273,493
274,518
275,504
276,506
277,486
278,481
279,468
280,509
281,474
282,499
283,483
284,486
285,514
286,510
287,507
288,473
289,512
290,518
291,459
292,465
293,465
294,540
295,520
296,462
297,505
298,465
299,504
300,495
301,511
302,486
303,474
304,513
305,470
306,535
307,496
308,493
309,552
310,508
311,495
312,545
313,472
314,521
315,512
316,479
317,554
318,497
319,493
320,544
321,501
322,486
323,516
324,512
325,481
326,531
327,503
328,551
329,480
330,445
331,468
332,495
333,488
334,487
335,461
336,477
337,476
338,498
339,461
340,532
341,499
342,511
343,488
344,518
345,495
346,478
347,519
348,470
349,531
350,496
351,493
352,501
353,506
354,513
355,532
356,470
357,444
358,491
359,519
360,491
361,498
362,498
363,533
364,461
365,469
366,504
367,503
368,496
369,505
370,523
371,489
372,527
373,513
374,525
375,495
376,485
377,463
378,513
379,461
380,507
381,503
382,531
383,473
384,492
385,451
386,482
387,509
388,481
389,507
390,477
391,507
392,450
393,558
394,495
395,504
396,543
397,505
398,496
399,467
400,487
401,514
402,476
403,493
404,502
405,477
406,512
407,493
408,538
409,482
410,486
411,497
412,464
413,506
414,476
415,514
416,519
417,496
418,476
419,520
420,476
421,485
422,461
423,516
424,505
425,503
426,523
427,499
428,483
429,489
430,494
431,533
432,487
433,520
434,500
435,476
436,498
437,498
438,522
439,476
440,452
441,493
442,510
443,489
444,517
445,460
446,509
447,445
448,497
449,489
450,484
451,518
452,528
453,498
454,514
455,464
456,485
457,540
458,530
459,496
460,497
461,457
462,514
463,477
464,505
465,506
466,499
467,473
468,489
469,503
470,514
471,498
472,495
473,528
474,506
475,484
476,491
477,515
478,470
479,526
480,500
481,473
482,483
483,496
484,481
485,515
486,513
487,452
488,475
489,531
490,468
491,493
492,500
493,512
494,520
495,495
496,519
497,507
498,497
499,492
500,507
501,448
502,492
503,462
504,495
505,506
506,500
507,483
508,513
509,460
510,509
511,472
512,478
513,450
514,521
515,501
516,546
517,499
518,484
519,442
520,524
521,514
522,483
523,511
524,497
525,554
526,505
527,516
528,471
529,468
530,477
531,476
532,519
533,532
534,511
535,479
536,488
537,492
538,483
539,443
540,521
541,454
542,522
