hash,quantity
0,65
1,63
2,71
3,59
4,86
5,70
6,60
7,69
8,68
9,91
10,67
11,62
12,68
13,79
14,61
15,64
16,69
17,61
18,65
19,90
20,73
21,69
22,60
23,68
24,64
25,54
26,71
27,48
28,73
29,69
30,60
31,66
32,75
33,68
34,60
35,65
36,69
37,83
38,56
39,64
40,69
41,72
42,60
43,89
44,51
45,69
46,65
47,70
48,66
49,87
50,62
51,66
52,64
53,59
54,75
55,55
56,65
57,53
58,70
59,69
60,95
61,81
62,58
63,75
64,58
65,59
66,67
67,61
68,60
69,80
70,67
71,70
72,63
73,71
74,60
75,66
76,68
77,64
78,83
79,79
80,77
81,59
82,70
83,61
84,76
85,62
86,56
87,75
88,62
89,66
90,77
91,61
92,55
93,85
94,72
95,69
96,64
97,59
98,72
99,69
100,72
101,65
102,63
103,68
104,72
105,63
106,54
107,81
108,63
109,88
110,68
111,63
112,61
113,82
114,77
115,71
116,74
117,67
118,69
119,62
120,69
121,67
122,67
123,60
124,69
125,60
126,67
127,67
128,63
129,69
130,72
131,70
132,85
133,65
134,59
135,53
136,66
137,71
138,81
139,67
140,74
141,63
142,68
143,58
144,63
145,75
146,67
147,55
148,81
149,61
150,59
151,58
152,69
153,70
154,64
155,69
156,77
157,58
158,72
159,67
160,64
161,73
162,63
163,47
164,65
165,68
166,79
167,68
168,69
169,78
170,79
171,60
172,65
173,68
174,79
175,88
176,49
177,72
178,76
179,63
180,61
181,84
182,59
183,59
184,68
185,67
186,74
187,60
188,63
189,42
190,64
191,83
192,71
193,61
194,56
195,56
196,63
197,72
198,69
199,63
200,61
201,74
202,51
203,73
204,70
205,85
206,70
207,70
208,56
209,59
210,63
211,74
212,71
213,68
214,59
215,64
216,56
217,87
218,44
219,57
220,67
221,74
222,65
223,53
224,59
225,57
226,70
227,77
228,68
229,64
230,54
231,67
232,71
233,56
234,64
235,62
236,80
237,70
238,71
239,78
240,54
241,61
242,66
243,77
244,72
245,65
246,64
247,77
248,61
249,76
250,68
251,66
252,65
253,79
254,59
255,67
256,73
257,80
258,81
259,70
260,53
261,74
262,66
263,79
264,67
265,63
266,72
267,68
268,61
269,49
270,50
271,64
272,63
273,63
274,62
275,76
276,75
277,60
278,79
279,71
280,63
281,73
282,72
283,63
284,61
285,71
286,72
287,81
288,59
289,68
290,64
291,69
292,62
293,70
294,52
295,54
296,68
297,63
298,77
299,66
300,67
301,62
302,64
303,63
304,66
305,90
306,74
307,66
308,71
309,73
310,61
311,79
312,71
313,63
314,75
315,82
316,69
317,67
318,76
319,65
320,66
321,63
322,73
323,84
324,83
325,61
326,60
327,73
328,62
329,70
330,63
331,56
332,71
333,74
334,70
335,93
336,61
337,48
338,67
339,65
340,63
341,58
342,56
343,61
344,69
345,75
346,77
347,73
348,78
349,71
350,63
351,59
352,68
353,81
354,67
355,71
356,58
357,69
358,72
359,70
360,62
361,58
362,69
363,66
364,58
365,52
366,63
367,62
368,69
369,88
370,56
371,66
372,81
373,70
374,70
375,64
376,71
377,67
378,68
379,63
380,76
381,53
382,68
383,63
384,80
385,71
386,70
387,66
388,77
389,63
390,71
391,63
392,58
393,68
394,72
395,65
396,78
397,73
398,54
399,53
400,85
401,63
402,69
403,59
404,52
405,63
406,74
407,68
408,61
409,67
410,68
411,73
412,62
413,63
414,74
415,60
416,72
417,48
418,70
419,63
420,61
421,68
422,63
423,59
424,60
425,70
426,70
427,73
428,76
429,67
430,68
431,62
432,49
433,77
434,59
435,42
436,76
437,56
438,70
439,77
440,66
441,78
442,58
443,71
444,85
445,72
446,62
447,58
448,68
449,58
450,76
451,66
452,69
453,69
454,76
455,56
456,68
457,64
458,59
459,59
460,62
461,67
462,65
463,69
464,59
465,76
466,77
467,71
468,68
469,67
470,64
471,63
472,71
473,56
474,67
475,69
476,66
477,69
478,74
479,54
480,67
481,80
482,78
483,59
484,67
485,63
486,69
487,71
488,70
489,63
490,64
491,71
492,76
493,78
494,77
495,73
496,65
497,52
498,56
499,67
500,84
501,61
502,59
503,69
504,56
505,78
506,66
507,78
508,70
509,70
510,66
511,95
512,74
513,74
514,60
515,67
516,81
517,58
518,66
519,56
520,64
521,70
522,91
523,85
524,62
525,69
526,71
527,63
528,72
529,57
530,60
531,61
532,61
533,68
534,75
535,63
536,72
537,67
538,80
539,55
540,62
541,64
542,55
543,62
544,70
545,70
546,72
547,69
548,64
549,63
550,65
551,58
552,45
553,63
554,66
555,58
556,77
557,84
558,65
559,68
560,70
561,77
562,71
563,62
564,71
565,81
566,75
567,70
568,59
569,63
570,74
571,77
572,71
573,57
574,71
575,66
576,70
577,74
578,59
579,80
580,75
581,63
582,61
583,72
584,55
585,72
586,64
587,55
588,80
589,55
590,73
591,67
592,57
593,64
594,77
595,81
596,72
597,60
598,70
599,62
600,61
601,58
602,61
603,69
604,61
605,56
606,77
607,69
608,59
609,69
610,74
611,76
612,67
613,57
614,60
615,62
616,62
617,60
618,54
619,62
620,70
621,72
622,71
623,71
624,62
625,70
626,77
627,74
628,82
629,74
630,77
631,70
632,57
633,53
634,76
635,63
636,82
637,62
638,70
639,68
640,71
641,69
642,49
643,65
644,60
645,64
646,68
647,69
648,64
649,77
650,74
651,72
652,62
653,74
654,79
655,70
656,68
657,61
658,67
659,75
660,76
661,72
662,74
663,82
664,69
665,79
666,72
667,64
668,59
669,75
670,65
671,84
672,65
673,64
674,69
675,66
676,58
677,67
678,66
679,65
680,48
681,47
682,53
683,78
684,79
685,61
686,71
687,70
688,66
689,61
690,60
691,72
692,68
693,87
694,79
695,72
696,68
697,71
698,54
699,54
700,61
701,72
702,63
703,84
704,64
705,58
706,75
707,69
708,58
709,76
710,66
711,75
712,87
713,52
714,67
715,87
716,74
717,77
718,60
719,74
720,76
721,73
722,71
723,80
724,71
725,68
726,68
727,72
728,74
729,72
730,63
731,73
732,70
733,64
734,66
735,63
736,55
737,55
738,66
739,53
740,66
741,69
742,54
743,58
744,71
745,58
746,58
747,65
748,77
749,61
750,62
751,73
752,58
753,81
754,78
755,72
756,58
757,56
758,70
759,68
760,62
761,72
762,81
763,72
764,67
765,75
766,75
767,80
768,72
769,63
770,72
771,60
772,61
773,62
774,62
775,84
776,85
777,77
778,75
779,73
780,51
781,53
782,69
783,66
784,61
785,64
786,68
787,71
788,64
789,69
790,58
791,74
792,79
793,61
794,58
795,58
796,62
797,81
798,58
799,72
800,60
801,75
802,53
803,69
804,59
805,60
806,66
807,58
808,92
809,66
810,72
811,68
812,70
813,65
814,57
815,57
816,82
817,81
818,79
819,65
820,58
821,68
822,68
823,69
824,66
825,70
826,57
827,66
828,67
829,67
830,82
831,70
832,75
833,71
834,66
835,79
836,76
837,65
838,73
839,53
840,61
841,59
842,87
843,63
844,44
845,66
846,67
847,55
848,68
849,66
850,57
851,52
852,71
853,84
854,51
855,68
856,66
857,64
858,76
859,73
860,67
861,63
862,56
863,53
864,73
865,80
866,67
867,63
868,59
869,74
870,64
871,63
872,53
873,66
874,68
875,76
876,56
877,61
878,62
879,67
880,70
881,70
882,60
883,71
884,56
885,47
886,70
887,56
888,69
889,65
890,68
891,74
892,61
893,69
894,70
895,63
896,77
897,61
898,71
899,62
900,65
901,67
902,69
903,69
904,59
905,69
906,82
907,54
908,65
909,74
910,59
911,87
912,67
913,89
914,59
915,68
916,62
917,55
918,66
919,81
920,74
921,62
922,62
923,70
924,62
925,51
926,72
927,64
928,49
929,65
930,77
931,60
932,74
933,61
934,70
935,67
936,72
937,78
938,55
939,47
940,75
941,72
942,78
943,62
944,56
945,79
946,76
947,66
948,66
949,63
950,68
951,72
952,70
953,80
954,79
955,54
956,60
957,66
