hash,quantity
0,69
1,63
2,66
3,65
4,64
5,69
6,74
7,55
8,57
9,70
10,70
11,68
12,72
13,55
14,52
15,75
16,79
17,56
18,54
19,67
20,56
21,71
22,77
23,58
24,70
25,52
26,64
27,63
28,60
29,61
30,58
31,72
32,62
33,86
34,77
35,58
36,67
37,63
38,88
39,59
40,52
41,71
42,61
43,55
44,77
45,71
46,68
47,76
48,72
49,71
50,62
51,75
52,68
53,79
54,54
55,61
56,79
57,86
58,75
59,69
60,75
61,74
62,60
63,72
64,65
65,69
66,75
67,66
68,54
69,73
70,72
71,80
72,65
73,64
74,79
75,73
76,68
77,67
78,75
79,71
80,63
81,69
82,72
83,72
84,75
85,57
86,52
87,68
88,73
89,59
90,74
91,62
92,86
93,63
94,77
95,56
96,66
97,72
98,64
99,55
100,59
101,61
102,45
103,67
104,69
105,53
106,71
107,56
108,69
109,62
110,62
111,72
112,67
113,65
114,57
115,66
116,54
117,70
118,70
119,61
120,73
121,68
122,69
123,76
124,71
125,76
126,74
127,68
128,65
129,77
130,81
131,74
132,65
133,72
134,70
135,77
136,67
137,64
138,76
139,49
140,75
141,73
142,70
143,51
144,60
145,65
146,59
147,63
148,62
149,61
150,83
151,61
152,75
153,55
154,69
155,52
156,51
157,71
158,61
159,70
160,83
161,71
162,76
163,56
164,75
165,69
166,73
167,68
168,54
169,43
170,60
171,65
172,77
173,66
174,55
175,71
176,71
177,58
178,71
179,65
180,59
181,76
182,71
183,76
184,56
185,82
186,71
187,64
188,71
189,70
190,72
191,61
192,53
193,69
194,62
195,73
196,83
197,69
198,71
199,62
200,66
201,56
202,65
203,63
204,64
205,58
206,75
207,59
208,65
209,66
210,67
211,65
212,61
213,65
214,63
215,54
216,53
217,82
218,65
219,62
220,72
221,75
222,61
223,60
224,63
225,76
226,76
227,63
228,65
229,77
230,79
231,73
232,74
233,73
234,79
235,68
236,51
237,68
238,76
239,63
240,83
241,69
242,77
243,80
244,63
245,65
246,73
247,86
248,59
249,63
250,78
251,71
252,60
253,62
254,82
255,73
256,67
257,63
258,66
259,67
260,68
261,61
262,53
263,78
264,65
265,100
266,64
267,70
268,58
269,67
270,60
271,65
272,66
273,78
274,53
275,63
276,73
277,76
278,57
279,73
280,65
281,72
282,61
283,77
284,55
285,66
286,75
287,63
288,59
289,65
290,62
291,51
292,57
293,72
294,69
295,63
296,75
297,63
298,62
299,58
300,82
301,69
302,79
303,70
304,75
305,75
306,71
307,57
308,79
309,67
310,65
311,75
312,65
313,60
314,62
315,74
316,59
317,73
318,73
319,60
320,69
321,67
322,69
323,65
324,75
325,54
326,66
327,74
328,73
329,56
330,56
331,54
332,57
333,71
334,75
335,54
336,55
337,59
338,70
339,68
340,60
341,64
342,71
343,53
344,63
345,64
346,53
347,68
348,83
349,65
350,86
351,61
352,62
353,75
354,59
355,61
356,69
357,69
358,75
359,67
360,73
361,75
362,59
363,56
364,60
365,68
366,41
367,79
368,66
369,68
370,91
371,80
372,75
373,71
374,64
375,46
376,57
377,58
378,67
379,61
380,68
381,65
382,72
383,58
384,64
385,53
386,60
387,61
388,70
389,63
390,68
391,68
392,62
393,63
394,67
395,63
396,63
397,68
398,82
399,52
400,64
401,64
402,65
403,65
404,63
405,65
406,69
407,72
408,73
409,71
410,70
411,66
412,61
413,76
414,68
415,55
416,54
417,69
418,73
419,69
420,64
421,66
422,74
423,64
424,69
425,64
426,64
427,68
428,60
429,81
430,66
431,74
432,61
433,64
434,60
435,82
436,56
437,70
438,64
439,73
440,72
441,69
442,80
443,61
444,65
445,75
446,70
447,73
448,72
449,64
450,62
451,69
452,76
453,65
454,64
455,73
456,69
457,74
458,66
459,48
460,69
461,73
462,58
463,65
464,55
465,73
466,63
467,63
468,55
469,81
470,66
471,62
472,74
473,59
474,69
475,62
476,66
477,58
478,71
479,63
480,76
481,78
482,70
483,70
484,46
485,79
486,82
487,61
488,70
489,71
490,57
491,75
492,61
493,63
494,71
495,63
496,60
497,65
498,62
499,64
500,59
501,68
502,58
503,55
504,75
505,64
506,82
507,66
508,78
509,63
510,58
511,68
512,59
513,51
514,67
515,63
516,73
517,67
518,61
519,53
520,64
521,62
522,55
523,70
524,63
525,85
526,62
527,77
528,63
529,65
530,77
531,63
532,63
533,70
534,53
535,66
536,72
537,71
538,60
539,51
540,93
541,49
542,79
543,65
544,61
545,64
546,58
547,64
548,60
549,69
550,64
551,76
552,57
553,67
554,69
555,71
556,63
557,76
558,71
559,67
560,85
561,63
562,70
563,69
564,59
565,69
566,74
567,71
568,74
569,68
570,75
571,70
572,63
573,72
574,61
575,59
576,65
577,74
578,63
579,65
580,76
581,71
582,72
583,62
584,58
585,78
586,60
587,70
588,62
589,68
590,74
591,58
592,59
593,72
594,56
595,60
596,62
597,62
598,68
599,52
600,66
601,74
602,62
603,70
604,80
605,59
606,73
607,71
608,78
609,74
610,84
611,67
612,71
613,60
614,78
615,59
616,58
617,71
618,60
619,85
620,55
621,76
622,68
623,70
624,78
625,75
626,67
627,66
628,77
629,75
630,70
631,74
632,56
633,65
634,74
635,65
636,76
637,71
638,79
639,84
640,60
641,70
642,66
643,80
644,66
645,65
646,80
647,63
648,75
649,54
650,55
651,55
652,60
653,64
654,70
655,56
656,68
657,68
658,55
659,67
660,57
661,71
662,82
663,69
664,55
665,57
666,69
667,58
668,71
669,79
670,71
671,68
672,64
673,74
674,76
675,75
676,62
677,65
678,74
679,66
680,70
681,57
682,78
683,71
684,68
685,61
686,65
687,66
688,64
689,68
690,68
691,79
692,81
693,60
694,62
695,66
696,60
697,69
698,83
699,62
700,58
701,55
702,69
703,49
704,65
705,60
706,69
707,67
708,61
709,67
710,58
711,87
712,72
713,72
714,62
715,77
716,68
717,67
