hash,quantity
0,78
1,59
2,66
3,69
4,58
5,71
6,59
7,45
8,53
9,50
10,63
11,58
12,56
13,73
14,75
15,91
16,67
17,64
18,78
19,59
20,53
21,61
22,61
23,69
24,59
25,67
26,59
27,48
28,47
29,48
30,51
31,82
32,73
33,71
34,59
35,57
36,53
37,46
38,48
39,88
40,45
41,64
42,48
43,41
44,54
45,64
46,57
47,56
48,56
49,65
50,60
51,59
52,63
53,55
54,68
55,56
56,55
57,56
58,44
59,49
60,67
61,48
62,57
63,51
64,114
65,129
66,129
67,117
68,103
69,88
70,112
71,89
72,92
73,106
74,101
75,109
76,84
77,99
78,107
79,93
80,100
81,102
82,101
83,85
84,104
85,103
86,99
87,91
88,72
89,126
90,113
91,149
92,136
93,134
94,119
95,108
96,74
97,81
98,68
99,92
100,73
101,71
102,65
103,89
104,74
105,72
106,78
107,91
108,89
109,88
110,72
111,68
112,78
113,70
114,75
115,87
116,79
117,66
118,74
119,70
120,69
121,78
122,55
123,63
124,51
125,81
126,67
127,58
128,64
129,56
130,72
131,57
132,70
133,62
134,46
135,50
136,46
137,65
138,71
139,54
140,50
141,63
142,65
143,69
144,55
145,52
146,52
147,63
148,43
149,51
150,56
151,40
152,49
153,46
154,62
155,57
156,48
157,119
158,88
159,114
160,93
161,92
162,103
163,89
164,89
165,67
166,68
167,61
168,67
169,71
170,68
171,68
172,69
173,68
174,106
175,92
176,88
177,77
178,74
179,101
180,63
181,62
182,65
183,72
184,56
185,67
186,56
187,55
188,62
189,48
190,53
191,67
192,94
193,80
194,59
195,55
196,76
197,53
198,67
199,57
200,57
201,42
202,50
203,44
204,63
205,47
206,57
207,59
208,83
209,64
210,67
211,68
212,67
213,67
214,55
215,65
216,46
217,52
218,55
219,56
220,52
221,54
222,51
223,59
224,50
225,40
226,37
227,54
228,40
229,66
230,55
231,53
232,48
233,49
234,65
235,55
236,55
237,48
238,60
239,54
240,54
241,51
242,42
243,40
244,44
245,47
246,51
247,50
248,59
249,44
250,128
251,112
252,105
253,93
254,78
255,82
256,96
257,91
258,72
259,88
260,84
261,93
262,82
263,90
264,73
265,91
266,103
267,104
268,82
269,104
270,108
271,98
272,99
273,101
274,74
275,81
276,84
277,62
278,66
279,71
280,72
281,79
282,55
283,51
284,73
285,79
286,95
287,88
288,69
289,56
290,56
291,54
292,54
293,63
294,57
295,55
296,63
297,51
298,69
299,67
300,66
301,55
302,69
303,72
304,67
305,63
306,56
307,66
308,70
309,49
310,60
311,51
312,61
313,57
314,47
315,43
316,38
317,41
318,85
319,75
320,111
321,81
322,85
323,71
324,77
325,71
326,59
327,74
328,61
329,71
330,52
331,53
332,57
333,54
334,73
335,98
336,64
337,86
338,68
339,62
340,77
341,57
342,60
343,49
344,88
345,65
346,72
347,69
348,66
349,62
350,58
351,32
352,66
353,66
354,71
355,50
356,64
357,49
358,63
359,59
360,83
361,65
362,51
363,61
364,55
365,39
366,47
367,60
368,50
369,53
370,56
371,42
372,67
373,75
374,50
375,55
376,79
377,56
378,71
379,52
380,52
381,49
382,53
383,43
384,54
385,40
386,51
387,38
388,46
389,51
390,49
391,26
392,54
393,51
394,67
395,51
396,58
397,53
398,36
399,49
400,45
401,61
402,36
403,44
404,49
405,48
406,41
407,51
408,41
409,62
410,55
411,86
412,77
413,90
414,92
415,75
416,71
417,53
418,63
419,63
420,70
421,60
422,55
423,52
424,73
425,67
426,68
427,62
428,66
429,67
430,80
431,80
432,72
433,65
434,64
435,73
436,54
437,67
438,62
439,65
440,59
441,49
442,66
443,52
444,50
445,65
446,54
447,76
448,84
449,66
450,52
451,60
452,52
453,57
454,66
455,37
456,46
457,48
458,50
459,47
460,47
461,52
462,82
463,50
464,59
465,69
466,51
467,44
468,55
469,47
470,38
471,73
472,51
473,45
474,49
475,36
476,55
477,52
478,42
479,115
480,102
481,88
482,95
483,97
484,102
485,102
486,115
487,87
488,86
489,73
490,90
491,94
492,101
493,93
494,88
495,92
496,113
497,96
498,107
499,86
500,86
501,83
502,89
503,72
504,78
505,78
506,66
507,77
508,63
509,56
510,79
511,51
512,52
513,71
514,57
515,75
516,74
517,54
518,76
519,66
520,61
521,54
522,52
523,61
524,57
525,60
526,48
527,54
528,52
529,51
530,53
531,67
532,66
533,70
534,58
535,73
536,59
537,57
538,38
539,65
540,58
541,62
542,59
543,55
544,44
545,51
546,41
547,44
548,49
549,42
550,44
551,40
552,48
553,52
554,42
555,47
556,44
557,64
558,47
559,51
560,41
561,53
562,38
563,61
564,51
565,41
566,37
567,46
568,42
569,49
570,54
571,64
572,100
573,117
574,98
575,128
576,81
577,88
578,107
579,94
580,76
581,79
582,80
583,68
584,77
585,88
586,83
587,79
588,91
589,93
590,92
591,86
592,75
593,82
594,104
595,77
596,66
597,59
598,74
599,61
600,66
601,74
602,65
603,64
604,53
605,49
606,66
607,56
608,83
609,74
610,71
611,77
612,67
613,43
614,42
615,70
616,50
617,48
618,57
619,63
620,69
621,60
622,54
623,65
624,54
625,58
626,69
627,53
628,61
629,54
630,62
631,52
632,49
633,55
634,58
635,50
636,46
637,62
638,34
639,39
640,75
641,68
642,104
643,83
644,72
645,61
646,70
647,78
648,59
649,57
650,58
651,38
652,67
653,69
654,53
655,68
656,66
657,62
658,66
659,89
660,54
661,60
662,55
663,53
664,63
665,55
666,70
667,51
668,61
669,51
670,58
671,66
672,44
673,48
674,46
675,66
676,77
677,64
678,51
679,63
680,58
681,66
682,62
683,42
684,49
685,55
686,43
687,51
688,62
689,43
690,43
691,38
692,51
693,50
694,54
695,44
696,49
697,51
698,35
699,43
700,45
701,48
702,50
703,54
704,58
705,57
706,38
707,47
708,37
709,49
