hash,quantity
0,60
1,73
2,72
3,73
4,74
5,75
6,79
7,64
8,57
9,50
10,72
11,50
12,73
13,82
14,81
15,67
16,64
17,67
18,49
19,76
20,75
21,70
22,65
23,72
24,64
25,58
26,59
27,74
28,80
29,68
30,84
31,68
32,69
33,77
34,61
35,75
36,69
37,68
38,73
39,53
40,73
41,63
42,66
43,52
44,68
45,67
46,51
47,62
48,76
49,55
50,58
51,65
52,63
53,69
54,58
55,61
56,45
57,71
58,73
59,65
60,61
61,70
62,57
63,58
64,66
65,66
66,66
67,69
68,65
69,72
70,76
71,56
72,65
73,59
74,55
75,56
76,72
77,69
78,62
79,51
80,54
81,73
82,66
83,69
84,75
85,62
86,67
87,74
88,62
89,73
90,67
91,76
92,71
93,66
94,74
95,64
96,59
97,69
98,63
99,55
100,74
101,82
102,85
103,55
104,67
105,69
106,56
107,75
108,65
109,66
110,74
111,58
112,65
113,82
114,72
115,68
116,59
117,73
118,59
119,68
120,65
121,54
122,68
123,60
124,50
125,65
126,89
127,66
128,69
129,64
130,60
131,73
132,59
133,73
134,60
135,69
136,57
137,73
138,75
139,66
140,83
141,60
142,61
143,75
144,74
145,70
146,58
147,62
148,54
149,69
150,62
151,51
152,70
153,84
154,61
155,66
156,67
157,78
158,71
159,60
160,68
161,69
162,68
163,61
164,64
165,66
166,66
167,70
168,73
169,53
170,75
171,67
172,76
173,62
174,79
175,45
176,70
177,66
178,74
179,72
180,73
181,64
182,57
183,66
184,76
185,60
186,72
187,66
188,81
189,62
190,66
191,58
192,62
193,69
194,66
195,67
196,71
197,70
198,71
199,69
200,69
201,59
202,69
203,60
204,62
205,80
206,84
207,75
208,72
209,64
210,68
211,79
212,70
213,56
214,57
215,52
216,81
217,77
218,66
219,69
220,67
221,70
222,73
223,64
224,65
225,61
226,71
227,63
228,61
229,66
230,66
231,76
232,66
233,60
234,83
235,60
236,74
237,62
238,65
239,68
240,68
241,78
242,74
243,64
244,74
245,65
246,69
247,61
248,58
249,71
250,71
251,72
252,68
253,75
254,68
255,71
256,58
257,64
258,55
259,63
260,62
261,53
262,78
263,70
264,70
265,59
266,49
267,76
268,66
269,74
270,70
271,70
272,58
273,69
274,67
275,90
276,71
277,59
278,65
279,67
280,73
281,75
282,61
283,71
284,61
285,82
286,64
287,63
288,70
289,83
290,74
291,71
292,72
293,67
294,56
295,60
296,59
297,70
298,56
299,60
300,75
301,58
302,58
303,65
304,75
305,48
306,70
307,66
308,64
309,65
310,56
311,66
312,72
313,62
314,80
315,78
316,61
317,69
318,60
319,70
320,61
321,65
322,77
323,69
324,58
325,75
326,64
327,70
328,65
329,71
330,73
331,59
332,68
333,59
334,64
335,61
336,71
