hash,quantity
0,1
1,0
2,0
3,2
4,1
5,1
6,0
7,0
8,0
9,2
10,0
11,1
12,0
13,0
14,3
15,0
16,0
17,1
18,2
19,2
20,0
21,2
22,1
23,2
24,0
25,2
26,2
27,1
28,0
29,2
30,4
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,2
39,2
40,0
41,2
42,2
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,2
51,0
52,0
53,2
54,2
55,2
56,1
57,1
58,0
59,0
60,2
61,2
62,0
63,2
64,0
65,2
66,1
67,1
68,0
69,4
70,1
71,2
72,0
73,2
74,0
75,0
76,2
77,2
78,2
79,0
80,2
81,1
82,1
83,0
84,1
85,1
86,0
87,3
88,0
89,2
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,2
99,0
100,3
101,1
102,4
103,0
104,1
105,0
106,1
107,2
108,1
109,2
110,0
111,1
112,0
113,3
114,0
115,0
116,2
117,4
118,2
119,0
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,3
129,1
130,0
131,3
132,2
133,0
134,3
135,1
136,0
137,1
138,0
139,1
140,4
141,1
142,1
143,4
144,1
145,2
146,1
147,0
148,0
149,1
150,3
151,4
152,0
153,0
154,2
155,1
156,2
157,2
158,2
159,1
160,2
161,1
162,0
163,3
164,2
165,0
166,2
167,2
168,1
169,0
170,0
171,2
172,1
173,0
174,2
175,0
176,2
177,2
178,1
179,1
180,1
181,3
182,5
183,2
184,0
185,1
186,2
187,2
188,0
189,2
190,3
191,3
192,1
193,1
194,2
195,1
196,3
197,2
198,0
199,0
200,2
201,1
202,1
203,0
204,3
205,1
206,2
207,0
208,1
209,0
210,1
211,0
212,4
213,0
214,3
215,1
216,1
217,0
218,0
219,0
220,3
221,2
222,1
223,1
224,2
225,0
226,3
227,1
228,3
229,0
230,0
231,2
232,1
233,1
234,1
235,0
236,3
237,1
238,1
239,0
240,2
241,2
242,3
243,1
244,1
245,0
246,1
247,0
248,0
249,2
250,1
251,0
252,2
253,0
254,1
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,2
263,1
264,3
265,3
266,1
267,0
268,0
269,3
270,2
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,2
279,3
280,1
281,2
282,1
283,1
284,3
285,1
286,1
287,3
288,2
289,0
290,0
291,0
292,3
293,1
294,1
295,1
296,0
297,0
298,1
299,0
300,0
301,0
302,2
303,2
304,3
305,0
306,1
307,1
308,0
309,2
310,0
311,0
312,1
313,2
314,0
315,2
316,1
317,3
318,1
319,0
320,0
321,3
322,2
323,1
324,1
325,1
326,2
327,0
328,2
329,3
330,2
331,0
332,0
333,2
334,0
335,0
336,1
337,2
338,2
339,2
340,0
341,4
342,0
343,1
344,1
345,2
346,2
347,2
348,1
349,2
350,0
351,0
352,2
353,1
354,2
355,0
356,4
357,1
358,0
359,0
360,1
361,1
362,0
363,3
364,1
365,0
366,2
367,2
368,2
369,2
370,0
371,1
372,3
373,0
374,2
375,1
376,0
377,2
378,0
379,0
380,0
381,1
382,2
383,0
384,3
385,0
386,4
387,0
388,3
389,1
390,3
391,2
392,0
393,2
394,3
395,0
396,0
397,1
398,2
399,1
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,0
410,0
411,2
412,1
413,0
414,1
415,1
416,1
417,2
418,3
419,0
420,0
421,1
422,0
423,1
424,2
425,1
426,1
427,1
428,0
429,0
430,2
431,2
432,2
433,1
434,3
435,0
436,0
437,2
438,2
439,0
440,1
441,1
442,5
443,0
444,0
445,2
446,1
447,3
448,1
449,2
450,1
451,2
452,0
453,1
454,0
455,1
456,1
457,0
458,0
459,1
460,4
461,1
462,1
463,2
464,1
465,2
466,2
467,0
468,0
469,1
470,3
471,0
472,2
473,3
474,2
475,1
476,0
477,1
478,1
479,0
480,0
481,1
482,0
483,1
484,2
485,0
486,2
487,3
488,2
489,2
490,2
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,1
503,0
504,0
505,1
506,2
507,0
508,2
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,0
517,0
518,2
519,3
520,0
521,0
522,2
523,0
524,2
525,1
526,2
527,1
528,0
529,0
530,0
531,2
532,0
533,1
534,1
535,2
536,0
537,1
538,1
539,0
540,2
541,1
542,3
543,1
544,2
545,1
546,0
547,1
548,3
549,2
550,0
551,1
552,2
553,3
554,0
555,0
556,1
557,0
558,1
559,3
560,0
561,0
562,1
563,0
564,0
565,1
566,3
567,3
568,0
569,0
570,1
571,1
572,2
573,0
574,0
575,2
576,1
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,2
586,4
587,1
588,2
589,2
590,2
591,3
592,2
593,2
594,2
595,0
596,2
597,1
598,2
599,3
600,0
601,2
602,1
603,2
604,4
605,3
606,1
607,2
608,3
609,0
610,2
611,2
612,0
613,1
614,2
615,1
616,1
617,3
618,1
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,0
627,4
628,0
629,2
630,2
631,2
632,2
633,0
634,0
635,0
636,0
637,2
638,2
639,0
640,2
641,1
642,0
643,2
644,3
645,0
646,0
647,1
648,1
649,2
650,0
651,1
652,2
653,1
654,2
655,2
656,0
657,2
658,1
659,2
660,3
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,2
669,1
670,1
671,4
672,1
673,4
674,2
675,0
676,3
677,3
678,3
679,2
680,0
681,0
682,2
683,2
684,0
685,0
686,1
687,2
688,1
689,0
690,2
691,1
692,0
693,3
694,2
695,1
696,2
697,1
698,1
699,0
700,2
701,2
702,1
703,3
704,2
705,1
706,0
707,1
708,0
709,1
710,1
711,1
712,2
713,2
714,1
715,1
716,2
717,0
718,0
719,0
720,1
721,3
722,1
723,0
724,0
725,1
726,2
727,1
728,1
729,1
730,2
731,5
732,1
733,1
734,2
735,1
736,0
737,1
738,1
739,2
740,2
741,1
742,0
743,1
744,1
745,0
746,3
747,1
748,1
749,1
750,3
751,3
752,0
753,0
754,2
755,1
756,1
757,1
758,2
759,2
760,2
761,2
762,0
763,0
764,1
765,1
766,3
767,0
768,1
769,1
770,5
771,1
772,1
773,2
774,3
775,1
776,0
777,1
778,0
779,2
780,0
781,1
782,1
783,1
784,3
785,3
786,1
787,1
788,0
789,2
790,0
791,0
792,1
793,1
794,0
795,0
796,1
797,2
798,0
799,1
800,0
801,0
802,2
803,1
804,1
805,0
806,1
807,2
808,1
809,0
810,0
811,1
812,0
813,1
814,2
815,1
816,2
817,0
818,1
819,0
820,0
821,1
822,3
823,0
824,0
825,1
826,1
827,0
828,1
829,0
830,1
831,0
832,1
833,0
834,0
835,1
836,0
837,0
838,2
839,0
840,0
841,0
842,0
843,4
844,1
845,1
846,0
847,3
848,0
849,2
850,1
851,2
852,3
853,4
854,1
855,2
856,2
857,0
858,1
859,1
860,1
861,5
862,0
863,3
864,1
865,0
866,2
867,1
868,1
869,0
870,1
871,1
872,0
873,0
874,1
875,2
876,1
877,2
878,2
879,0
880,2
881,1
882,1
883,1
884,1
885,2
886,2
887,0
888,0
889,0
890,2
891,0
892,2
893,0
894,2
895,2
896,2
897,0
898,1
899,1
900,2
901,0
902,2
903,0
904,2
905,0
906,0
907,0
908,1
909,0
910,1
911,2
912,0
913,1
914,2
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,0
923,1
924,1
925,1
926,1
927,2
928,1
929,1
930,1
931,2
932,0
933,2
934,0
935,1
936,2
937,2
938,4
939,2
940,0
941,0
942,3
943,0
944,0
945,2
946,2
947,0
948,0
949,0
950,2
951,2
952,2
953,4
954,0
955,1
956,3
957,2
958,1
959,1
960,2
961,1
962,1
963,1
964,2
965,0
966,0
967,1
968,1
969,1
970,2
971,0
972,1
973,2
974,2
975,0
976,0
977,0
978,1
979,0
980,0
981,0
982,2
983,2
984,2
985,0
986,2
987,1
988,2
989,0
990,0
991,2
992,1
993,4
994,0
995,1
996,3
997,1
998,1
999,4
1000,0
1001,4
1002,0
1003,1
1004,3
1005,0
1006,2
1007,2
1008,1
1009,2
1010,0
1011,0
1012,2
1013,0
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,0
1021,0
1022,0
1023,1
1024,1
1025,2
1026,1
1027,0
1028,2
1029,4
1030,0
1031,1
1032,1
1033,1
1034,2
1035,0
1036,4
1037,1
1038,0
1039,0
1040,1
1041,1
1042,1
1043,0
1044,1
1045,2
1046,2
1047,4
1048,3
1049,2
1050,2
1051,2
1052,0
1053,0
1054,1
1055,2
1056,0
1057,0
1058,1
1059,1
1060,0
1061,2
1062,2
1063,0
1064,3
1065,0
1066,1
1067,0
1068,1
1069,1
1070,2
1071,1
1072,1
1073,0
1074,3
1075,2
1076,0
1077,2
1078,2
1079,1
1080,1
1081,2
1082,2
1083,0
1084,1
1085,1
1086,4
1087,2
1088,1
1089,2
1090,1
1091,2
1092,0
1093,1
1094,0
1095,1
1096,1
1097,3
1098,0
1099,1
1100,1
1101,1
1102,1
1103,1
1104,2
1105,0
1106,1
1107,1
1108,1
1109,0
1110,0
1111,1
1112,1
1113,0
1114,1
1115,3
1116,1
1117,2
1118,0
1119,0
1120,3
1121,1
1122,2
1123,0
1124,3
1125,1
1126,2
1127,1
1128,0
1129,1
1130,2
1131,2
1132,1
1133,3
1134,3
1135,1
1136,2
1137,2
1138,0
1139,0
1140,1
1141,1
1142,1
1143,1
1144,2
1145,3
1146,0
1147,1
1148,2
1149,1
1150,2
1151,1
1152,0
1153,1
1154,0
1155,4
1156,1
1157,2
1158,1
1159,1
1160,1
1161,1
1162,2
1163,2
1164,1
1165,4
1166,1
1167,1
1168,0
1169,1
1170,0
1171,0
1172,0
1173,0
1174,0
1175,1
1176,0
1177,0
1178,3
1179,1
1180,0
1181,0
1182,1
1183,0
1184,1
1185,0
1186,1
1187,1
1188,2
1189,1
1190,0
1191,1
1192,1
1193,2
1194,1
1195,0
1196,0
1197,1
1198,1
1199,1
1200,3
1201,0
1202,0
1203,0
1204,2
1205,1
1206,0
1207,2
1208,0
1209,1
1210,1
1211,0
1212,0
1213,2
1214,0
1215,0
1216,0
1217,0
1218,4
1219,1
1220,2
1221,2
1222,1
1223,0
1224,0
1225,1
1226,1
1227,1
1228,6
1229,0
