hash,quantity
0,1
1,1
3,3
4,1
7,1
10,1
11,1
13,4
15,1
19,1
20,2
23,1
25,3
27,3
29,2
30,1
34,3
38,2
41,1
42,1
43,1
44,1
48,3
52,1
53,1
55,1
59,2
60,1
61,1
66,1
67,1
68,1
69,2
72,1
73,1
75,1
77,2
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,2
89,1
91,1
93,1
99,1
102,1
103,1
106,1
107,4
109,2
112,1
113,2
114,1
117,1
118,1
119,1
121,1
123,1
126,1
129,1
131,1
132,2
136,2
138,3
140,1
141,2
142,1
143,2
145,1
147,1
151,2
152,2
153,1
158,2
159,3
160,1
161,1
162,3
163,1
164,1
168,1
170,1
173,2
174,1
178,4
181,1
184,3
185,1
186,1
190,1
191,1
196,2
197,3
198,1
199,1
201,1
207,1
209,1
212,1
213,2
215,2
220,1
222,1
223,1
225,1
229,1
230,1
231,1
238,1
239,1
241,1
242,2
243,1
244,2
247,1
249,2
252,2
254,2
256,1
257,1
259,1
260,1
261,1
263,1
266,1
267,1
273,1
274,2
276,1
277,1
278,1
279,4
281,1
282,1
284,1
286,1
291,4
292,2
293,1
295,1
296,1
299,1
301,1
303,1
304,1
306,1
310,1
313,3
316,1
318,2
321,1
325,1
327,1
332,1
334,2
336,1
337,2
338,1
339,1
340,1
342,1
343,1
349,1
351,1
352,1
355,2
356,1
357,1
360,1
361,1
362,1
365,1
367,1
368,1
370,1
376,2
377,1
378,1
379,2
380,1
384,1
389,2
390,2
391,1
392,2
394,2
397,2
399,1
400,2
402,1
403,1
404,1
405,1
413,1
414,2
417,2
420,1
425,1
427,1
428,3
429,1
430,1
432,1
439,1
446,1
447,1
450,1
452,1
454,2
460,1
463,1
464,1
465,2
466,1
468,2
469,1
475,1
481,1
483,2
485,1
492,2
494,1
495,1
499,1
500,1
502,2
503,1
504,2
506,3
509,2
511,3
512,2
515,2
516,3
519,1
520,1
522,1
523,1
528,2
530,1
531,1
535,1
536,3
537,2
539,1
540,2
542,1
544,1
545,1
548,2
558,1
559,1
561,1
564,1
566,2
567,1
570,1
571,1
573,2
574,1
575,2
578,1
580,2
583,1
584,1
589,1
592,1
594,1
595,2
597,1
600,1
601,1
602,1
603,1
604,2
605,1
607,1
608,2
610,1
611,1
612,1
614,1
615,1
616,1
618,1
619,1
620,2
622,1
624,1
625,1
628,2
629,1
630,1
631,2
632,2
634,1
635,1
636,2
640,1
646,1
647,1
648,1
650,1
651,2
657,1
658,3
661,1
663,1
671,2
673,3
675,1
676,1
679,1
681,1
683,1
684,2
687,1
688,1
692,3
695,1
697,1
699,1
702,1
703,1
704,2
705,1
710,1
711,1
713,1
714,1
715,1
717,2
718,2
722,2
724,1
726,1
729,1
730,1
731,1
737,1
738,1
741,1
742,4
745,1
747,1
748,1
752,1
754,2
756,1
757,1
759,1
761,2
764,1
766,1
767,3
769,1
770,1
771,1
774,1
775,1
776,2
777,1
779,1
781,1
784,3
787,2
789,1
795,1
797,1
800,1
801,1
802,1
805,2
808,3
809,1
811,1
812,1
813,1
814,1
816,1
820,3
821,2
822,2
824,1
825,2
827,3
835,2
840,1
842,1
843,2
845,3
847,1
852,1
853,1
854,1
856,1
867,1
868,1
870,1
871,1
872,1
874,2
877,3
879,2
881,2
882,1
883,2
884,2
888,1
896,2
897,1
899,1
904,1
906,1
907,1
908,1
912,1
913,1
915,1
918,1
919,1
921,2
922,1
924,1
925,2
927,1
928,3
929,3
930,1
933,1
937,1
938,1
939,3
941,1
942,2
944,1
947,2
949,1
950,1
955,2
961,1
962,1
963,1
968,1
970,3
971,1
973,1
974,1
980,1
985,3
988,3
989,2
990,1
995,1
999,1
1000,1
1001,2
1003,1
1004,1
1006,1
1008,1
1009,1
1010,1
1011,1
1013,1
1016,1
1017,1
1019,1
1022,1
1023,1
1026,1
1027,2
1031,2
1033,1
1035,1
1037,1
1040,1
1041,1
1043,1
1050,2
1053,1
1057,3
1059,3
1061,1
1062,1
1063,3
1064,2
1067,1
1068,3
1070,1
1071,1
1072,1
1073,1
1080,4
1081,2
1082,2
1084,1
1085,1
1086,1
1092,1
1095,1
1096,1
1103,1
1107,1
1108,1
1112,1
1115,2
1116,2
1117,1
1120,1
1123,1
1124,1
1126,1
1130,1
1131,1
1133,1
1135,3
1136,2
1137,1
1138,1
1140,1
1141,1
1143,1
1147,2
1150,2
1151,2
1156,2
1159,1
1160,1
1163,2
1164,1
1166,4
1167,1
1168,1
1169,1
1170,1
1176,2
1179,2
1181,1
1185,1
1186,1
1187,2
1188,2
1191,1
1199,1
1201,1
1202,2
1203,1
1206,1
1207,2
1209,1
1211,1
1212,1
1214,1
1215,1
1221,2
1222,2
1225,1
1227,2
1228,1
1232,1
1233,2
1234,1
1237,1
1239,1
1243,1
1244,1
1247,1
1248,1
1250,1
1254,1
1255,2
1257,2
1265,1
1268,1
1269,3
1270,1
1273,1
1274,1
1275,1
1276,1
1277,2
1280,2
1282,1
1283,2
1286,1
1287,1
1288,2
1289,1
1293,1
1295,3
1298,1
1299,1
1300,1
1302,1
1304,1
1309,1
1312,1
1313,3
1315,1
1317,2
1320,2
1323,2
1328,1
1329,1
1330,1
1331,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1341,1
1344,1
1349,1
1351,2
1352,1
1353,5
1356,2
1362,1
1364,1
1365,1
1367,2
1368,1
1373,1
1375,2
1376,3
1377,1
1378,1
1381,3
1384,2
1386,1
1387,1
1388,2
1391,1
1394,1
1398,2
1401,1
1402,2
1404,2
1407,1
1408,2
1409,1
1410,1
1411,1
1412,1
1415,1
1417,1
1418,1
1421,1
1423,1
1427,2
1430,1
1431,1
1432,2
1433,2
1435,1
1438,2
1443,1
1447,1
1449,1
1450,1
1454,2
1455,1
1456,1
1457,1
1458,3
1463,1
1464,1
1465,1
1466,1
1468,1
1469,3
1471,1
1472,1
1473,2
1474,1
1476,2
1477,1
1479,1
1481,1
1483,1
1484,2
1485,1
1486,2
1490,1
1491,1
1493,3
1495,1
1496,3
1497,1
1501,1
1503,1
1505,1
1510,2
1511,3
1513,1
1514,1
1515,1
1517,1
1519,1
1520,1
1521,1
1524,2
1525,1
1526,3
1528,1
1532,4
1533,1
1534,1
1536,1
1537,2
1539,1
1543,1
1546,1
1548,1
1550,2
1552,1
1557,1
1559,1
1560,1
1561,1
1562,1
1566,1
1567,1
1575,1
1577,1
1579,1
1581,1
1583,1
1584,1
1586,1
1589,1
1590,1
1591,2
