hash,quantity
0,97
1,75
2,83
3,86
4,81
5,67
6,76
7,80
8,83
9,75
10,83
11,80
12,86
13,74
14,92
15,70
16,80
17,67
18,88
19,88
20,78
21,55
22,68
23,87
24,81
25,81
26,62
27,85
28,87
29,82
30,79
31,77
32,65
33,86
34,71
35,62
36,76
37,69
38,65
39,75
40,82
41,89
42,63
43,63
44,78
45,71
46,75
47,87
48,84
49,81
50,84
51,106
52,91
53,63
54,81
55,71
56,66
57,76
58,77
59,74
60,57
61,66
62,84
63,84
64,65
65,72
66,74
67,84
68,76
69,58
70,90
71,82
72,63
73,110
74,56
75,92
76,79
77,64
78,69
79,68
80,61
81,76
82,80
83,71
84,70
85,78
86,90
87,78
88,87
89,97
90,60
91,79
92,91
93,73
94,81
95,78
96,69
97,92
98,86
99,89
100,92
101,60
102,72
103,83
104,65
105,102
106,79
107,73
108,107
109,73
110,78
111,94
112,89
113,75
114,110
115,109
116,108
117,86
118,85
119,77
120,68
121,93
122,83
123,75
124,66
125,71
126,76
127,71
128,79
129,76
130,91
131,97
132,123
133,75
134,87
135,92
136,100
137,104
138,74
139,103
140,79
141,102
142,65
143,74
144,90
145,95
146,88
147,102
148,88
149,79
150,80
151,72
152,80
153,90
154,95
155,76
156,89
157,72
158,97
159,71
160,83
161,82
162,98
163,106
164,86
165,108
166,108
167,85
168,84
169,134
170,116
171,92
172,120
173,97
174,104
175,89
176,115
177,114
178,113
179,100
180,98
181,131
182,102
183,114
184,93
185,113
186,101
187,120
188,119
189,95
190,116
191,108
192,62
193,79
194,68
195,73
196,58
197,91
198,62
199,79
200,64
201,80
202,66
203,88
204,75
205,58
206,61
207,90
208,57
209,68
210,81
211,79
212,65
213,55
214,53
215,71
216,79
217,69
218,57
219,54
220,59
221,77
222,64
223,67
224,64
225,63
226,82
227,79
228,72
229,62
230,72
231,72
232,67
233,65
234,75
235,61
236,54
237,60
238,74
239,75
240,67
241,65
242,74
243,77
244,58
245,66
246,70
247,68
248,59
249,71
250,61
251,62
252,84
253,64
254,72
255,64
256,110
257,121
258,105
259,99
260,128
261,135
262,108
263,108
264,101
265,144
266,124
267,118
268,103
269,124
270,113
271,99
272,125
273,115
274,99
275,119
276,89
277,107
278,106
279,81
280,74
281,130
282,92
283,83
284,86
285,109
286,94
287,108
288,67
289,117
290,95
291,101
292,89
293,94
294,74
295,89
296,80
297,125
298,98
299,84
300,107
301,86
302,103
303,100
304,93
305,115
306,111
307,104
308,81
309,109
310,80
311,106
312,107
313,139
314,121
315,99
316,102
317,98
318,75
319,123
320,58
321,84
322,82
323,79
324,76
325,77
326,77
327,71
328,79
329,80
330,76
331,69
332,69
333,69
334,71
335,58
336,52
337,72
338,65
339,85
340,82
341,84
342,82
343,85
344,84
345,93
346,66
347,80
348,68
349,83
350,89
351,53
352,90
353,74
354,79
355,103
356,64
357,72
358,78
359,78
360,84
361,95
362,80
363,77
364,84
365,96
366,92
367,85
368,65
369,92
370,86
371,85
372,73
373,82
374,70
375,83
376,71
377,97
378,71
379,70
380,77
381,83
382,83
383,60
384,65
385,76
386,56
387,72
388,64
389,65
390,74
391,72
392,72
393,98
394,47
395,81
396,64
397,60
398,78
399,73
400,63
401,67
402,68
403,63
404,82
405,68
406,60
407,58
408,74
409,55
410,67
411,71
412,73
413,66
414,71
415,74
416,68
417,65
418,72
419,64
420,67
421,52
422,67
423,71
424,51
425,86
426,67
427,42
428,70
429,65
430,74
431,52
432,60
433,54
434,64
435,68
436,60
437,61
438,71
439,59
440,61
441,67
442,51
443,65
444,60
445,53
446,57
447,47
448,79
449,65
450,61
451,65
452,77
453,56
454,68
455,58
456,65
457,67
458,62
459,64
460,69
461,71
462,70
463,47
464,52
465,72
466,78
467,58
468,63
469,54
470,56
471,62
472,54
473,51
474,61
475,54
476,59
477,58
478,58
479,55
480,53
481,67
482,67
483,78
484,47
485,54
486,38
487,61
488,44
489,70
490,58
491,58
492,55
493,58
494,68
495,60
496,53
497,55
498,59
499,73
500,57
501,52
502,47
503,58
504,46
505,64
506,72
507,58
508,48
509,58
510,61
511,56
512,82
513,90
514,93
515,98
516,89
517,88
518,85
519,92
520,76
521,100
522,81
523,94
524,80
525,92
526,76
527,74
528,69
529,92
530,84
531,91
532,84
533,65
534,73
535,75
536,86
537,100
538,70
539,63
540,82
541,72
542,89
543,81
544,61
545,89
546,68
547,93
548,64
549,96
550,85
551,76
552,68
553,96
554,69
555,76
556,77
557,93
558,81
559,90
560,82
561,91
562,87
563,82
564,81
565,96
566,87
567,73
568,67
569,107
570,68
571,88
572,78
573,86
574,78
575,67
576,83
577,92
578,68
579,74
580,85
581,83
582,90
583,83
584,75
585,120
586,71
587,86
588,79
589,104
590,79
591,77
592,62
593,101
594,98
595,96
596,84
597,96
598,68
599,67
600,60
601,115
602,78
603,98
604,76
605,94
606,80
607,98
608,87
609,101
610,87
611,86
612,106
613,97
614,75
615,84
616,75
617,148
618,101
619,90
620,84
621,82
622,96
623,97
624,93
625,114
626,75
627,93
628,74
629,86
630,79
631,78
632,89
633,91
634,85
635,75
636,87
637,104
638,79
639,79
640,71
641,83
642,58
643,72
644,69
645,75
646,57
647,66
648,46
649,85
650,66
651,72
652,67
653,66
654,55
655,59
656,57
657,87
658,78
659,85
660,75
661,84
662,75
663,68
664,75
665,97
666,72
667,68
668,70
669,85
670,61
671,60
672,61
673,69
674,62
675,83
676,70
677,88
678,68
679,69
680,66
681,91
682,80
683,79
684,88
685,69
686,61
687,53
688,66
689,73
690,69
691,77
692,66
693,85
694,75
695,74
696,72
697,99
698,81
699,64
700,69
701,64
702,94
703,70
704,60
705,64
706,50
707,60
708,72
709,64
710,51
711,64
712,63
713,74
714,63
715,63
716,63
717,57
718,76
719,68
720,51
721,63
722,54
723,75
724,56
725,57
726,77
727,60
728,55
729,53
730,77
731,64
732,51
733,61
734,70
735,60
736,48
737,78
738,66
739,62
740,51
741,47
742,68
743,58
744,54
745,76
746,55
747,64
748,60
749,71
750,70
751,66
752,61
753,78
754,68
755,62
756,58
757,73
758,47
759,48
760,67
761,73
762,69
763,64
764,57
765,62
766,69
767,55
768,64
769,59
770,52
771,70
772,63
773,46
774,57
775,64
776,46
777,57
778,51
779,56
780,47
781,56
782,73
783,41
784,56
785,70
786,59
787,45
788,58
789,35
790,52
791,52
792,50
793,52
794,57
795,42
796,56
797,53
798,61
799,58
800,52
801,68
802,64
803,61
804,45
805,51
806,62
807,57
808,58
809,51
810,56
811,63
812,49
813,44
814,53
815,59
816,59
817,48
818,64
819,53
820,51
821,63
822,53
823,59
824,48
825,76
826,56
827,54
828,46
829,57
830,56
831,47
832,57
833,51
834,67
835,50
836,70
837,60
838,42
839,55
840,60
841,62
842,68
843,60
844,51
845,41
846,50
847,51
848,70
849,48
850,49
851,52
852,53
853,43
854,37
855,57
856,51
857,66
858,54
859,49
860,53
861,65
862,46
863,64
864,59
865,59
866,53
867,51
868,59
869,51
870,45
871,53
872,38
873,61
874,56
875,40
876,61
877,44
878,58
879,47
880,44
881,59
882,56
883,45
884,51
885,51
886,62
887,51
888,55
889,49
890,47
891,62
892,49
893,49
894,52
895,53
896,65
897,53
898,58
899,54
900,60
901,48
902,51
903,36
904,54
905,53
906,55
907,44
908,49
909,58
910,52
911,54
912,56
913,56
914,52
915,41
916,58
917,57
918,45
919,54
920,52
921,70
922,51
923,38
924,58
925,48
926,63
927,49
928,49
929,54
930,57
931,55
932,64
933,60
934,52
935,49
936,43
937,56
938,42
939,43
940,54
941,57
942,35
943,47
944,63
945,65
946,55
947,55
948,43
949,49
950,63
951,50
952,56
953,55
954,52
955,41
956,43
957,47
958,44
959,40
960,43
961,52
962,48
963,40
964,44
965,64
966,38
967,48
968,50
969,59
970,50
971,52
972,60
973,54
974,46
975,50
976,55
977,49
978,56
979,49
980,52
981,44
982,43
983,45
984,53
985,54
986,47
987,44
988,51
989,46
990,40
991,60
992,52
993,42
994,46
995,49
996,51
997,50
998,55
999,52
1000,49
1001,60
1002,49
1003,41
1004,59
1005,55
1006,48
1007,40
1008,48
1009,52
1010,58
1011,42
1012,58
1013,48
1014,37
1015,47
1016,47
1017,52
1018,50
1019,54
1020,44
1021,44
1022,54
1023,52
1024,92
1025,71
1026,57
1027,57
1028,65
1029,71
1030,75
1031,63
1032,80
1033,70
1034,74
1035,48
1036,74
1037,63
1038,75
1039,80
1040,70
1041,84
1042,66
1043,62
1044,63
1045,86
1046,70
1047,72
1048,81
1049,77
1050,72
1051,59
1052,62
1053,85
1054,92
1055,69
1056,71
1057,61
1058,76
1059,72
1060,91
1061,66
1062,73
1063,59
1064,86
1065,81
1066,67
1067,49
1068,63
1069,70
1070,81
1071,54
1072,79
1073,76
1074,66
1075,65
1076,70
1077,61
1078,76
1079,59
1080,89
1081,68
1082,70
1083,64
1084,43
1085,71
1086,71
1087,57
1088,94
1089,79
1090,67
1091,59
1092,108
1093,67
1094,78
1095,75
1096,90
1097,77
1098,70
1099,48
1100,76
1101,59
1102,74
1103,78
1104,76
1105,72
1106,63
1107,63
1108,61
1109,79
1110,73
1111,73
1112,65
1113,78
1114,73
1115,54
1116,79
1117,65
1118,79
1119,85
1120,70
1121,64
1122,78
1123,49
1124,74
1125,72
1126,79
1127,59
1128,74
1129,74
1130,61
1131,54
1132,66
1133,67
1134,70
1135,62
1136,76
1137,91
1138,53
1139,67
1140,82
1141,68
1142,68
1143,74
1144,73
1145,73
1146,87
1147,59
1148,71
1149,67
1150,70
1151,68
1152,82
1153,72
1154,77
1155,72
1156,77
1157,75
1158,70
1159,69
1160,80
1161,89
1162,91
1163,67
1164,87
1165,74
1166,71
1167,91
1168,85
1169,80
1170,64
1171,70
1172,78
1173,95
1174,71
1175,86
1176,99
1177,99
1178,92
1179,73
1180,86
1181,96
1182,80
1183,72
1184,75
1185,88
1186,60
1187,74
1188,56
1189,77
1190,95
1191,65
1192,89
1193,76
1194,67
1195,56
1196,72
1197,78
1198,88
1199,77
1200,85
1201,65
1202,73
1203,75
1204,69
1205,64
1206,90
1207,81
1208,73
1209,83
1210,72
1211,62
1212,71
1213,76
1214,83
1215,74
1216,68
1217,81
1218,69
1219,78
1220,84
1221,73
1222,74
1223,78
1224,95
1225,79
1226,80
1227,69
1228,83
1229,79
1230,67
1231,79
1232,71
1233,87
1234,76
1235,66
1236,68
1237,86
1238,67
1239,66
1240,78
1241,80
1242,77
1243,69
1244,83
1245,79
1246,83
1247,72
1248,92
1249,91
1250,71
1251,76
1252,83
1253,85
1254,91
1255,57
1256,98
1257,88
1258,101
1259,75
1260,78
1261,79
1262,95
1263,69
1264,79
1265,78
1266,51
1267,82
1268,72
1269,62
1270,84
1271,83
1272,71
1273,78
1274,69
1275,71
1276,92
1277,91
1278,92
1279,88
1280,80
1281,70
1282,69
1283,67
1284,74
1285,76
1286,67
1287,64
1288,70
1289,80
1290,68
1291,61
1292,63
1293,58
1294,73
1295,63
1296,70
1297,63
1298,63
1299,57
1300,68
1301,69
1302,54
1303,71
1304,53
1305,67
1306,53
1307,60
1308,68
1309,64
1310,69
1311,59
1312,74
1313,69
1314,63
1315,65
1316,67
1317,71
1318,64
1319,56
1320,65
1321,76
1322,61
1323,71
1324,69
1325,66
1326,65
1327,48
1328,58
1329,60
1330,71
1331,69
1332,67
1333,53
1334,52
1335,60
1336,64
1337,80
1338,59
1339,67
1340,62
1341,46
1342,72
1343,60
1344,71
1345,67
1346,60
1347,57
1348,79
1349,69
1350,63
1351,78
1352,65
1353,75
1354,69
1355,54
1356,73
1357,59
1358,60
1359,42
1360,72
1361,63
1362,71
1363,65
1364,70
1365,58
1366,87
1367,57
1368,66
1369,72
1370,50
1371,60
1372,70
1373,64
1374,57
1375,68
1376,59
1377,65
1378,63
1379,62
1380,56
1381,63
1382,61
1383,51
1384,63
1385,68
1386,66
1387,58
1388,62
1389,57
1390,63
1391,66
1392,73
1393,76
1394,58
1395,50
1396,54
1397,39
1398,61
1399,61
1400,62
1401,64
1402,52
1403,68
1404,49
1405,65
1406,46
1407,53
1408,46
1409,67
1410,54
1411,48
1412,66
1413,66
1414,55
1415,52
1416,52
1417,69
1418,44
1419,59
1420,66
1421,56
1422,57
1423,51
1424,55
1425,62
1426,56
1427,46
1428,54
1429,53
1430,66
1431,48
1432,59
1433,59
1434,50
1435,61
1436,57
1437,66
1438,58
1439,49
1440,61
1441,57
1442,46
1443,67
1444,53
1445,71
1446,60
1447,70
1448,46
1449,66
1450,52
1451,53
1452,49
1453,51
1454,71
1455,53
1456,48
1457,60
1458,51
1459,54
1460,56
1461,51
1462,68
1463,46
1464,50
1465,68
1466,59
1467,51
1468,58
1469,56
1470,52
1471,60
1472,52
1473,58
1474,56
1475,59
1476,57
1477,58
1478,50
1479,68
1480,52
1481,60
1482,55
1483,55
1484,54
1485,64
1486,58
1487,62
1488,59
1489,65
1490,54
1491,47
1492,48
1493,73
1494,44
1495,57
1496,44
1497,64
1498,57
1499,53
1500,68
1501,63
1502,68
1503,48
1504,61
1505,54
1506,61
1507,60
1508,60
1509,63
1510,54
1511,51
1512,60
1513,59
1514,39
1515,48
1516,48
1517,66
1518,67
1519,44
1520,66
1521,66
1522,66
1523,42
1524,56
1525,57
1526,46
1527,59
1528,59
1529,52
1530,46
1531,47
1532,53
1533,61
1534,53
1535,51
1536,50
1537,40
1538,47
1539,58
1540,56
1541,49
1542,41
1543,60
1544,48
1545,65
1546,51
1547,46
1548,52
1549,71
1550,54
1551,38
1552,41
1553,42
1554,56
1555,52
1556,49
1557,56
1558,49
1559,55
1560,54
1561,52
1562,67
1563,52
1564,49
1565,41
1566,77
1567,43
1568,48
1569,70
1570,44
1571,65
1572,56
1573,53
1574,44
1575,43
1576,61
1577,49
1578,57
1579,45
1580,65
1581,56
1582,63
1583,61
1584,47
1585,55
1586,60
1587,56
1588,44
1589,44
1590,47
1591,45
1592,75
1593,49
1594,50
1595,62
1596,65
1597,54
1598,56
1599,44
1600,39
1601,37
1602,51
1603,45
1604,68
1605,45
1606,43
1607,60
1608,50
1609,61
1610,51
1611,55
1612,63
1613,72
1614,58
1615,53
1616,70
1617,45
1618,49
1619,48
1620,43
1621,42
1622,37
1623,65
1624,43
1625,52
1626,50
1627,50
1628,64
1629,54
1630,45
1631,57
1632,50
1633,55
1634,45
1635,50
1636,60
1637,53
