hash,quantity
0,91
1,64
2,80
3,78
4,90
5,69
6,76
7,77
8,78
9,70
10,90
11,75
12,74
13,66
14,87
15,70
16,91
17,74
18,84
19,92
20,81
21,66
22,83
23,74
24,80
25,85
26,69
27,81
28,93
29,82
30,72
31,83
32,66
33,75
34,69
35,65
36,78
37,72
38,52
39,78
40,77
41,88
42,61
43,71
44,76
45,77
46,83
47,78
48,80
49,90
50,89
51,112
52,107
53,72
54,73
55,68
56,64
57,75
58,75
59,76
60,68
61,59
62,88
63,77
64,67
65,69
66,80
67,86
68,82
69,64
70,90
71,77
72,76
73,111
74,61
75,87
76,86
77,60
78,77
79,62
80,64
81,74
82,61
83,73
84,88
85,75
86,82
87,80
88,93
89,94
90,59
91,70
92,83
93,73
94,76
95,70
96,65
97,86
98,80
99,88
100,86
101,72
102,85
103,70
104,74
105,87
106,72
107,79
108,114
109,90
110,85
111,111
112,91
113,82
114,104
115,110
116,108
117,82
118,94
119,82
120,67
121,92
122,83
123,64
124,63
125,60
126,83
127,77
128,90
129,87
130,72
131,93
132,130
133,89
134,74
135,96
136,102
137,101
138,88
139,109
140,77
141,102
142,78
143,73
144,83
145,91
146,95
147,92
148,90
149,77
150,82
151,80
152,76
153,96
154,95
155,75
156,76
157,72
158,85
159,85
160,96
161,86
162,86
163,104
164,92
165,123
166,124
167,92
168,100
169,137
170,111
171,99
172,113
173,108
174,125
175,104
176,108
177,106
178,113
179,113
180,98
181,136
182,109
183,119
184,93
185,112
186,95
187,122
188,118
189,105
190,117
191,95
192,64
193,68
194,73
195,81
196,66
197,73
198,68
199,84
200,64
201,87
202,69
203,92
204,80
205,62
206,45
207,90
208,68
209,64
210,83
211,98
212,72
213,60
214,60
215,73
216,80
217,75
218,64
219,73
220,54
221,75
222,76
223,67
224,66
225,64
226,81
227,71
228,75
229,66
230,77
231,79
232,69
233,65
234,67
235,69
236,67
237,52
238,78
239,74
240,68
241,61
242,68
243,87
244,72
245,78
246,71
247,63
248,68
249,73
250,67
251,74
252,70
253,77
254,84
255,59
256,102
257,115
258,97
259,116
260,120
261,125
262,107
263,104
264,106
265,136
266,114
267,117
268,102
269,116
270,115
271,98
272,120
273,115
274,111
275,116
276,103
277,115
278,113
279,86
280,83
281,124
282,99
283,95
284,95
285,97
286,105
287,109
288,86
289,105
290,89
291,95
292,95
293,101
294,71
295,98
296,78
297,128
298,93
299,92
300,100
301,82
302,96
303,92
304,88
305,114
306,116
307,94
308,84
309,101
310,83
311,94
312,115
313,131
314,120
315,110
316,105
317,96
318,77
319,120
320,66
321,79
322,68
323,82
324,72
325,69
326,71
327,74
328,76
329,78
330,79
331,75
332,55
333,52
334,84
335,67
336,67
337,71
338,63
339,84
340,76
341,71
342,79
343,93
344,72
345,90
346,63
347,73
348,66
349,67
350,72
351,48
352,79
353,71
354,80
355,98
356,70
357,75
358,80
359,69
360,75
361,107
362,67
363,66
364,78
365,94
366,80
367,96
368,76
369,84
370,79
371,89
372,81
373,87
374,74
375,82
376,79
377,96
378,74
379,70
380,75
381,77
382,84
383,75
384,71
385,79
386,66
387,74
388,59
389,56
390,86
391,67
392,66
393,100
394,60
395,76
396,63
397,65
398,74
399,71
400,64
401,68
402,73
403,67
404,78
405,87
406,59
407,60
408,75
409,72
410,70
411,76
412,89
413,73
414,65
415,72
416,67
417,64
418,69
419,67
420,57
421,50
422,73
423,71
424,60
425,88
426,66
427,41
428,67
429,75
430,67
431,50
432,62
433,57
434,56
435,74
436,67
437,72
438,68
439,65
440,70
441,70
442,48
443,64
444,65
445,48
446,65
447,57
448,73
449,61
450,64
451,68
452,75
453,58
454,68
455,69
456,59
457,72
458,85
459,79
460,59
461,64
462,64
463,62
464,51
465,71
466,85
467,62
468,78
469,59
470,62
471,78
472,50
473,69
474,55
475,59
476,58
477,75
478,61
479,62
480,53
481,67
482,66
483,80
484,46
485,59
486,51
487,72
488,48
489,73
490,59
491,65
492,55
493,63
494,55
495,48
496,59
497,57
498,77
499,82
500,62
501,55
502,55
503,64
504,56
505,71
506,53
507,61
508,56
509,69
510,61
511,60
512,84
513,101
514,90
515,94
516,81
517,98
518,81
519,88
520,79
521,104
522,88
523,93
524,87
525,93
526,79
527,78
528,73
529,83
530,88
531,92
532,84
533,63
534,81
535,72
536,86
537,105
538,68
539,66
540,85
541,94
542,102
543,68
544,59
545,90
546,66
547,93
548,73
549,83
550,94
551,85
552,83
553,96
554,75
555,81
556,79
557,82
558,96
559,88
560,77
561,111
562,91
563,89
564,79
565,92
566,78
567,76
568,73
569,119
570,69
571,91
572,86
573,90
574,83
575,71
576,74
577,103
578,70
579,88
580,87
581,88
582,86
583,91
584,86
585,126
586,78
587,103
588,93
589,105
590,97
591,69
592,61
593,104
594,93
595,99
596,81
597,86
598,79
599,78
600,62
601,125
602,62
603,102
604,65
605,114
606,87
607,97
608,90
609,100
610,75
611,69
612,87
613,96
614,74
615,92
616,73
617,139
618,101
619,89
620,87
621,81
622,83
623,109
624,92
625,123
626,77
627,89
628,91
629,82
630,77
631,75
632,90
633,89
634,81
635,78
636,87
637,96
638,78
639,84
640,69
641,73
642,54
643,63
644,59
645,70
646,53
647,66
648,61
649,97
650,59
651,67
652,71
653,66
654,57
655,63
656,66
657,82
658,75
659,96
660,79
661,89
662,62
663,69
664,79
665,82
666,72
667,66
668,62
669,81
670,57
671,72
672,67
673,65
674,69
675,86
676,75
677,84
678,69
679,81
680,61
681,92
682,76
683,78
684,76
685,68
686,49
687,62
688,77
689,76
690,76
691,78
692,70
693,95
694,65
695,77
696,69
697,93
698,74
699,71
700,56
701,57
702,91
703,84
704,65
705,63
706,60
707,67
708,47
709,51
710,62
711,59
712,53
713,76
714,71
715,69
716,61
717,50
718,65
719,62
720,48
721,60
722,61
723,74
724,44
725,57
726,68
727,64
728,54
729,67
730,66
731,60
732,58
733,45
734,65
735,60
736,50
737,69
738,58
739,51
740,47
741,52
742,55
743,57
744,55
745,82
746,57
747,65
748,66
749,61
750,58
751,67
752,68
753,72
754,67
755,65
756,57
757,67
758,51
759,57
760,67
761,66
762,71
763,58
764,52
765,68
766,74
767,56
768,63
769,50
770,43
771,67
772,51
773,55
774,50
775,64
776,44
777,52
778,45
779,64
780,49
781,55
782,60
783,33
784,43
785,59
786,53
787,49
788,47
789,53
790,52
791,61
792,48
793,49
794,38
795,64
796,57
797,56
798,70
799,57
800,63
801,68
802,57
803,58
804,47
805,59
806,55
807,55
808,51
809,55
810,43
811,62
812,52
813,51
814,48
815,65
816,57
817,56
818,64
819,60
820,55
821,77
822,40
823,66
824,49
825,63
826,69
827,55
828,59
829,55
830,66
831,54
832,55
833,51
834,66
835,55
836,54
837,67
838,52
839,59
840,68
841,62
842,60
843,59
