hash,quantity
0,72
1,37
2,55
3,66
4,70
5,61
6,39
7,56
8,67
9,63
10,73
11,43
12,50
13,54
14,73
15,82
16,64
17,64
18,59
19,42
20,58
21,74
22,54
23,51
24,60
25,46
26,58
27,53
28,55
29,52
30,71
31,57
32,60
33,50
34,52
35,51
36,47
37,49
38,48
39,53
40,58
41,60
42,50
43,45
44,46
45,55
46,58
47,45
48,54
49,53
50,37
51,84
52,49
53,83
54,77
55,60
56,44
57,44
58,47
59,54
60,45
61,47
62,50
63,57
64,132
65,132
66,114
67,118
68,106
69,105
70,129
71,86
72,107
73,105
74,94
75,114
76,105
77,104
78,110
79,118
80,99
81,103
82,123
83,102
84,101
85,103
86,94
87,92
88,94
89,85
90,89
91,99
92,89
93,90
94,96
95,89
96,51
97,65
98,54
99,62
100,59
101,115
102,108
103,110
104,103
105,112
106,94
107,111
108,111
109,95
110,98
111,84
112,93
113,86
114,103
115,103
116,100
117,100
118,96
119,101
120,86
121,111
122,90
123,84
124,94
125,60
126,103
127,79
128,92
129,90
130,64
131,67
132,92
133,53
134,59
135,56
136,41
137,41
138,158
139,142
140,158
141,140
142,111
143,134
144,126
145,146
146,126
147,146
148,99
149,108
150,137
151,92
152,103
153,133
154,115
155,88
156,80
157,101
158,85
159,84
160,75
161,105
162,87
163,123
164,94
165,121
166,121
167,98
168,84
169,86
170,63
171,50
172,51
173,45
174,48
175,53
176,45
177,55
178,47
179,48
180,54
181,60
182,57
183,40
184,60
185,29
186,42
187,50
188,68
189,69
190,64
191,78
192,71
193,53
194,59
195,69
196,41
197,65
198,60
199,64
200,78
201,66
202,90
203,64
204,55
205,52
206,61
207,62
208,55
209,53
210,41
211,54
212,51
213,50
214,67
215,77
216,67
217,57
218,53
219,70
220,52
221,56
222,52
223,55
224,46
225,84
226,63
227,90
228,90
229,66
230,60
231,69
232,60
233,65
234,68
235,56
236,50
237,57
238,50
239,76
240,51
241,45
242,53
243,46
244,59
245,67
246,68
247,64
248,47
249,57
250,73
251,68
252,65
253,62
254,53
255,45
256,63
257,42
258,42
259,61
260,52
261,53
262,47
263,53
264,54
265,31
266,55
267,57
268,34
269,49
270,45
271,35
272,44
273,50
274,38
275,79
276,102
277,104
278,106
279,70
280,66
281,75
282,59
283,72
284,56
285,53
286,48
287,82
288,70
289,82
290,89
291,74
292,63
293,66
294,75
295,55
296,48
297,51
298,53
299,65
300,61
301,81
302,62
303,45
304,59
305,61
306,48
307,53
308,49
309,48
310,46
311,48
312,71
313,74
314,75
315,108
316,85
317,98
318,79
319,75
320,60
321,55
322,62
323,70
324,63
325,74
326,61
327,74
328,58
329,68
330,51
331,63
332,55
333,70
334,51
335,66
336,54
337,87
338,65
339,74
340,57
341,68
342,53
343,54
344,51
345,53
346,62
347,58
348,51
349,94
350,74
351,98
352,95
353,72
354,95
355,79
356,81
357,60
358,74
359,60
360,62
361,67
362,76
363,74
364,83
365,92
366,78
367,75
368,75
369,71
370,77
371,78
372,57
373,55
374,94
375,76
376,101
377,101
378,56
379,75
380,72
381,65
382,60
383,49
384,49
385,59
386,56
387,50
388,69
389,65
390,56
391,57
392,48
393,53
394,49
395,44
396,45
397,55
398,38
399,62
400,56
401,67
402,83
403,53
404,49
405,70
406,55
407,53
408,48
409,45
410,47
411,55
412,52
413,40
414,50
415,44
416,37
417,36
418,46
419,49
420,52
421,45
422,49
423,53
424,61
425,71
426,58
427,67
428,58
429,45
430,60
431,65
432,46
433,45
434,43
435,50
436,52
437,61
438,75
439,74
440,55
441,52
442,57
443,71
444,72
445,51
446,53
447,52
448,61
449,54
450,68
451,58
452,47
453,47
454,52
455,67
456,49
457,64
458,61
459,43
460,47
461,46
462,53
463,68
464,62
465,61
466,44
467,62
468,65
469,47
470,46
471,42
472,56
473,50
474,48
475,59
476,56
477,38
478,39
479,43
480,59
481,44
482,48
483,54
484,60
485,46
486,118
487,106
488,142
489,101
490,96
491,80
492,105
493,93
494,75
495,100
496,72
497,71
498,98
499,102
500,94
501,83
502,95
503,89
504,102
505,113
506,91
507,93
508,72
509,95
510,67
511,80
512,88
513,97
514,76
515,75
516,65
517,84
518,55
519,53
520,56
521,55
522,48
523,110
524,97
525,107
526,91
527,86
528,102
529,95
530,93
531,78
532,72
533,81
534,62
535,68
536,61
537,78
538,68
539,94
540,64
541,91
542,78
543,62
544,72
545,70
546,55
547,70
548,81
549,68
550,82
551,63
552,51
553,66
554,85
555,50
556,47
557,62
558,58
559,39
560,35
561,58
562,44
563,45
564,57
565,43
566,42
567,51
568,70
569,45
570,34
571,45
572,40
573,70
574,76
575,74
576,75
577,60
578,61
579,48
580,58
581,38
582,65
583,47
584,60
585,63
586,65
587,66
588,74
589,59
590,52
591,66
592,73
593,65
594,54
595,44
596,61
597,62
598,54
599,67
600,63
601,59
602,51
603,51
604,68
605,49
606,43
607,53
608,39
609,54
610,60
611,72
612,67
613,74
614,46
615,63
616,72
617,66
618,44
619,51
620,53
621,42
622,49
623,54
624,56
625,53
626,47
627,55
628,57
629,57
630,53
631,50
632,49
633,45
634,35
635,57
636,54
637,71
638,52
639,53
640,56
641,63
642,43
643,51
644,51
645,44
646,49
647,65
648,62
649,85
650,79
651,73
652,70
653,52
654,73
655,47
656,55
657,60
658,64
659,62
660,77
661,101
662,114
663,93
664,89
665,70
666,76
667,66
668,77
669,53
670,42
671,56
672,75
673,68
674,72
675,86
676,69
677,63
678,78
679,76
680,61
681,69
682,54
683,56
684,61
685,65
686,58
687,58
688,55
689,62
690,60
691,55
692,39
693,55
694,47
695,47
696,36
697,67
698,86
699,91
700,105
701,61
702,56
703,82
704,61
705,66
706,67
707,59
708,64
709,57
710,55
711,68
712,53
713,54
714,82
715,73
716,53
717,53
718,52
719,46
720,53
721,57
722,64
723,60
724,87
725,65
726,49
727,57
728,49
729,71
730,46
731,53
732,46
733,57
734,93
735,86
736,100
737,90
738,84
739,80
740,84
741,81
742,74
743,74
744,50
745,63
746,55
747,62
748,67
749,69
750,57
751,74
752,64
753,84
754,47
755,71
756,66
757,42
758,58
759,67
760,79
761,67
762,75
763,55
764,49
765,68
766,66
767,54
768,57
769,50
770,46
771,48
772,58
773,57
774,56
775,48
776,65
777,54
778,46
779,62
780,49
781,32
782,37
783,48
784,68
785,73
786,67
787,73
788,60
789,53
790,51
791,57
792,51
793,62
794,68
795,51
796,69
797,73
798,74
799,64
800,60
801,69
802,66
803,79
804,60
805,53
806,59
807,52
808,54
809,69
810,78
811,79
812,65
813,58
814,60
815,75
816,62
817,51
818,51
819,62
820,44
821,78
822,68
823,87
824,83
825,69
826,56
827,56
828,55
829,59
830,60
831,64
832,45
833,51
834,52
835,54
836,42
837,71
838,46
839,53
840,48
841,39
842,63
843,43
844,44
845,44
846,63
847,54
848,61
849,62
850,58
851,53
852,63
853,55
854,59
855,55
856,37
857,40
858,44
859,49
860,61
861,51
862,46
863,48
864,40
865,46
866,52
867,33
868,56
869,53
870,37
871,132
872,149
873,167
874,144
875,150
876,139
877,146
878,146
879,135
880,110
881,142
882,137
883,120
884,133
885,118
886,138
887,90
888,111
889,85
890,119
891,104
892,119
893,107
894,95
895,111
896,109
897,124
898,113
899,121
900,90
901,111
902,106
903,42
904,53
905,50
906,48
907,45
908,116
909,99
910,116
911,135
912,86
913,100
914,120
915,112
916,88
917,97
918,84
919,97
920,105
921,88
922,123
923,94
924,120
925,121
926,94
927,102
928,90
929,95
930,83
931,85
932,83
933,98
934,90
935,79
936,106
937,56
938,87
939,72
940,43
941,49
942,53
943,49
944,44
945,53
946,51
947,40
948,50
949,50
950,48
951,47
952,35
953,39
954,46
955,47
956,45
957,55
958,51
959,73
960,72
961,64
962,51
963,68
964,56
965,50
966,47
967,53
968,59
969,45
970,64
971,57
972,63
973,67
974,57
975,52
976,57
977,68
978,47
979,58
980,56
981,60
982,46
983,45
984,62
985,70
986,57
987,42
988,60
989,57
990,42
991,49
992,38
993,39
994,44
995,74
996,71
997,74
998,81
999,61
1000,59
1001,70
1002,51
1003,54
1004,85
1005,51
1006,46
1007,62
1008,52
1009,55
1010,55
1011,66
1012,39
1013,54
1014,52
1015,59
1016,42
1017,43
1018,52
1019,49
1020,51
1021,62
1022,61
1023,53
1024,46
1025,53
1026,54
1027,38
1028,33
1029,56
1030,47
1031,58
1032,69
1033,75
1034,85
1035,97
1036,71
1037,50
1038,66
1039,53
1040,62
1041,52
1042,56
1043,44
1044,54
1045,101
1046,104
1047,108
1048,139
1049,72
1050,71
1051,85
1052,74
1053,81
1054,66
1055,63
1056,74
1057,83
1058,82
1059,78
1060,78
1061,55
1062,72
1063,76
1064,89
1065,95
1066,81
1067,69
1068,72
1069,62
1070,53
1071,80
1072,81
1073,59
1074,72
1075,70
1076,59
1077,55
1078,44
1079,64
1080,40
1081,49
1082,86
1083,81
1084,115
1085,91
1086,79
1087,72
1088,83
1089,82
1090,65
1091,73
1092,72
1093,71
1094,62
1095,60
1096,59
1097,60
1098,62
1099,73
1100,79
1101,84
1102,78
1103,65
1104,63
1105,61
1106,54
1107,62
1108,81
1109,67
1110,76
1111,48
1112,66
1113,65
1114,47
1115,47
1116,49
1117,36
1118,48
1119,77
1120,90
1121,106
1122,120
1123,87
1124,84
1125,67
1126,75
1127,64
1128,63
1129,68
1130,73
1131,69
1132,51
1133,76
1134,76
1135,53
1136,66
1137,54
1138,81
1139,82
1140,43
1141,61
1142,66
1143,59
1144,80
1145,62
1146,68
1147,66
1148,74
1149,60
1150,55
1151,41
1152,49
1153,51
1154,49
1155,50
1156,58
1157,55
1158,66
1159,59
1160,50
1161,38
1162,52
1163,47
1164,42
1165,67
1166,52
1167,49
1168,39
1169,62
1170,57
1171,59
1172,82
1173,50
1174,38
1175,53
1176,56
1177,40
1178,57
1179,42
1180,44
1181,68
1182,64
1183,75
1184,50
1185,71
1186,61
1187,58
1188,64
1189,80
1190,63
1191,45
1192,60
1193,58
1194,76
1195,57
1196,61
1197,77
1198,60
1199,60
1200,68
1201,61
1202,59
1203,46
1204,53
1205,48
1206,73
1207,62
1208,89
1209,65
1210,64
1211,49
1212,64
1213,65
1214,51
1215,52
1216,63
1217,46
1218,50
1219,57
1220,54
1221,58
1222,58
1223,44
1224,49
1225,71
1226,60
1227,51
1228,54
1229,48
1230,51
1231,57
1232,43
1233,66
1234,58
1235,49
1236,58
1237,66
1238,66
1239,47
1240,57
1241,52
1242,56
1243,44
1244,50
1245,43
1246,51
1247,48
1248,51
1249,58
1250,43
1251,49
1252,45
1253,45
1254,49
1255,38
1256,99
1257,104
1258,110
1259,91
1260,91
1261,76
1262,97
1263,79
1264,67
1265,73
1266,56
1267,54
1268,79
1269,76
1270,66
1271,86
1272,76
1273,93
1274,86
1275,68
1276,72
1277,77
1278,58
1279,73
1280,74
1281,65
1282,79
1283,48
1284,44
1285,56
1286,71
1287,82
1288,38
1289,56
1290,55
1291,40
1292,48
1293,127
1294,95
1295,113
1296,118
1297,89
1298,98
1299,105
1300,101
1301,55
1302,81
1303,72
1304,66
1305,84
1306,60
1307,82
1308,70
1309,85
1310,99
1311,89
1312,87
1313,88
1314,66
1315,109
1316,73
1317,59
1318,80
1319,62
1320,98
1321,75
1322,75
1323,79
1324,78
1325,62
1326,51
1327,43
1328,41
1329,57
1330,91
1331,101
1332,106
1333,118
1334,100
1335,89
1336,91
1337,94
1338,85
1339,71
1340,64
1341,67
1342,80
1343,93
1344,85
1345,119
1346,119
1347,85
1348,100
1349,94
1350,85
1351,86
1352,83
1353,74
1354,49
1355,86
1356,63
1357,93
1358,71
1359,75
1360,82
1361,57
1362,44
1363,59
1364,62
1365,60
1366,51
1367,59
1368,40
1369,78
1370,52
1371,32
1372,56
1373,37
1374,40
1375,39
1376,60
1377,49
1378,42
1379,36
1380,63
1381,69
1382,67
1383,88
1384,39
1385,56
1386,69
1387,61
1388,51
1389,50
1390,54
1391,62
1392,55
1393,49
1394,65
1395,54
1396,70
1397,55
1398,67
1399,49
1400,56
1401,71
1402,48
1403,53
1404,57
1405,56
1406,61
1407,60
1408,68
1409,42
1410,59
1411,68
1412,40
1413,51
1414,48
1415,47
1416,52
1417,71
1418,59
1419,87
1420,74
1421,65
1422,69
1423,64
1424,60
1425,61
1426,54
1427,57
1428,59
1429,60
1430,46
1431,51
1432,55
1433,56
1434,53
1435,70
1436,50
1437,54
1438,44
1439,57
1440,53
1441,56
1442,56
1443,60
1444,61
1445,34
1446,56
1447,58
1448,54
1449,56
1450,41
1451,46
1452,52
1453,58
1454,47
1455,52
1456,66
1457,43
1458,40
1459,54
1460,59
1461,56
1462,53
1463,42
1464,53
1465,42
1466,63
1467,84
1468,78
1469,111
1470,71
1471,74
1472,55
1473,76
1474,69
1475,63
1476,64
1477,43
1478,61
1479,55
1480,70
1481,91
1482,74
1483,65
1484,65
1485,74
1486,69
1487,65
1488,55
1489,56
1490,53
1491,63
1492,69
1493,72
1494,74
1495,71
1496,53
1497,56
1498,68
1499,55
1500,59
1501,45
1502,61
1503,51
1504,92
1505,87
1506,98
1507,97
1508,80
1509,64
1510,74
1511,74
1512,53
1513,68
1514,68
1515,49
1516,47
1517,42
1518,79
1519,63
1520,56
1521,66
1522,70
1523,66
1524,59
1525,51
1526,62
1527,52
1528,68
1529,65
1530,66
1531,65
1532,72
1533,60
1534,60
1535,67
1536,58
1537,47
1538,65
1539,43
1540,58
1541,51
1542,66
1543,65
1544,49
1545,45
1546,47
1547,67
1548,55
1549,45
1550,45
1551,47
1552,46
1553,39
1554,61
1555,55
1556,60
1557,70
1558,58
1559,57
1560,45
1561,49
1562,44
1563,57
1564,41
1565,49
1566,60
1567,53
1568,62
1569,78
1570,68
1571,48
1572,62
1573,57
1574,58
1575,42
1576,55
1577,53
1578,49
1579,49
1580,43
1581,56
1582,59
1583,50
1584,74
1585,61
1586,54
1587,49
1588,43
1589,39
1590,50
1591,61
1592,54
1593,63
1594,70
1595,52
1596,54
1597,60
1598,47
1599,51
1600,52
1601,47
1602,55
1603,51
1604,51
1605,51
1606,44
1607,47
1608,66
1609,54
1610,57
1611,62
1612,57
1613,51
1614,60
1615,54
1616,61
1617,81
1618,47
1619,76
1620,59
1621,46
1622,53
1623,54
1624,58
1625,53
1626,47
1627,49
1628,57
1629,56
1630,69
1631,85
1632,59
1633,42
1634,54
1635,65
1636,47
1637,66
1638,44
1639,49
1640,62
1641,134
1642,122
1643,100
1644,116
1645,123
1646,100
1647,126
1648,125
1649,78
1650,94
1651,97
1652,123
1653,112
1654,105
1655,118
1656,103
1657,140
1658,130
1659,100
1660,105
1661,85
1662,95
1663,102
1664,101
1665,84
1666,78
1667,69
1668,90
1669,82
1670,66
1671,93
1672,84
1673,46
1674,52
1675,42
1676,52
1677,40
1678,163
1679,99
1680,136
1681,133
1682,157
1683,147
1684,131
1685,115
1686,97
1687,111
1688,107
1689,105
1690,110
1691,88
1692,134
1693,86
1694,104
1695,115
1696,115
1697,115
1698,133
1699,107
1700,104
1701,115
1702,103
1703,119
1704,96
1705,121
1706,98
1707,98
1708,115
1709,99
1710,46
1711,53
1712,57
1713,59
1714,59
1715,115
1716,96
1717,96
1718,97
1719,92
1720,82
1721,100
1722,97
1723,81
1724,82
1725,71
1726,78
1727,86
1728,101
1729,103
1730,120
1731,138
1732,115
1733,85
1734,115
1735,110
1736,92
1737,116
1738,98
1739,75
1740,105
1741,102
1742,93
1743,83
1744,89
1745,91
1746,78
1747,67
1748,80
1749,67
1750,47
1751,53
1752,64
1753,57
1754,72
1755,60
1756,50
1757,53
1758,68
1759,51
1760,47
1761,54
1762,62
1763,44
1764,42
1765,78
1766,67
1767,58
1768,67
1769,56
1770,45
1771,60
1772,44
1773,50
1774,69
1775,55
1776,50
1777,54
1778,46
1779,69
1780,72
1781,62
1782,56
1783,48
1784,50
1785,47
1786,58
1787,55
1788,52
1789,53
1790,54
1791,53
1792,65
1793,63
1794,46
1795,65
1796,47
1797,44
1798,54
1799,55
1800,54
1801,42
1802,68
1803,59
1804,79
1805,100
1806,68
1807,66
1808,77
1809,67
1810,62
1811,59
1812,42
1813,55
1814,58
1815,60
1816,60
1817,61
1818,45
1819,56
1820,46
1821,62
1822,47
1823,46
1824,50
1825,46
1826,42
1827,60
1828,61
1829,58
1830,63
1831,41
1832,59
1833,57
1834,60
1835,55
1836,47
1837,55
1838,64
1839,64
1840,58
1841,54
1842,40
1843,33
1844,45
1845,49
1846,43
1847,48
1848,38
1849,46
1850,43
1851,44
1852,83
1853,98
1854,103
1855,92
1856,66
1857,73
1858,51
1859,73
1860,74
1861,74
1862,53
1863,69
1864,72
1865,53
1866,75
1867,76
1868,64
1869,75
1870,86
1871,89
1872,58
1873,68
1874,48
1875,62
1876,45
1877,59
1878,84
1879,71
1880,83
1881,65
1882,65
1883,76
1884,62
1885,59
1886,68
1887,53
1888,47
1889,92
1890,95
1891,106
1892,92
1893,81
1894,88
1895,77
1896,87
1897,72
1898,53
1899,65
1900,72
1901,62
1902,63
1903,69
1904,86
1905,65
1906,65
1907,72
1908,89
1909,61
1910,75
1911,70
1912,49
1913,53
1914,61
1915,60
1916,75
1917,85
1918,75
1919,62
1920,72
1921,56
1922,46
1923,58
1924,48
1925,48
1926,57
1927,51
1928,51
1929,46
1930,54
1931,51
1932,57
1933,59
1934,49
1935,46
1936,46
1937,53
1938,41
1939,49
1940,53
1941,70
1942,64
1943,69
1944,49
1945,54
1946,55
1947,45
1948,65
1949,45
1950,50
1951,63
1952,55
1953,55
1954,68
1955,63
1956,49
1957,51
1958,62
1959,60
1960,48
1961,53
1962,59
1963,54
1964,49
1965,75
1966,59
1967,59
1968,62
1969,48
1970,61
1971,45
1972,67
1973,45
1974,43
1975,52
1976,60
1977,64
1978,65
1979,67
1980,51
1981,47
1982,62
1983,48
1984,60
1985,53
1986,52
1987,50
1988,57
1989,36
1990,69
1991,59
1992,48
1993,59
1994,44
1995,49
1996,49
1997,39
1998,61
1999,46
