hash,quantity
0,25
1,28
2,25
3,22
4,20
5,30
6,31
7,28
8,23
9,31
10,28
11,30
12,32
13,34
14,26
15,34
16,24
17,26
18,27
19,34
20,26
21,22
22,18
23,43
24,27
25,23
26,42
27,27
28,35
29,35
30,33
31,23
32,27
33,23
34,24
35,28
36,30
37,24
38,27
39,28
40,25
41,30
42,25
43,32
44,23
45,26
46,26
47,29
48,31
49,28
50,23
51,34
52,36
53,31
54,29
55,32
56,19
57,20
58,32
59,34
60,22
61,18
62,39
63,37
64,32
65,24
66,23
67,34
68,30
69,37
70,42
71,30
72,38
73,33
74,28
75,24
76,27
77,28
78,27
79,28
80,26
81,36
82,27
83,21
84,30
85,32
86,31
87,29
88,36
89,31
90,26
91,34
92,39
93,18
94,31
95,23
96,20
97,26
98,32
99,21
100,35
101,29
102,22
103,25
104,31
105,32
106,32
107,32
108,25
109,23
110,24
111,34
112,20
113,41
114,40
115,30
116,33
117,30
118,28
119,38
120,38
121,31
122,26
123,42
124,31
125,36
126,40
127,36
128,26
129,31
130,36
131,41
132,36
133,32
134,25
135,32
136,35
137,23
138,41
139,30
140,37
141,41
142,33
143,32
144,25
145,26
146,31
147,33
148,25
149,39
150,39
151,37
152,32
153,28
154,34
155,29
156,33
157,35
158,38
159,39
160,31
161,31
162,28
163,21
164,27
165,34
166,32
167,34
168,34
169,34
170,36
171,36
172,33
173,37
174,39
175,33
176,29
177,31
178,41
179,36
180,36
181,35
182,49
183,38
184,36
185,43
186,31
187,42
188,40
189,41
190,46
191,34
192,33
193,53
194,51
195,40
196,33
197,37
198,36
199,37
200,46
201,41
202,43
203,32
204,38
205,29
206,48
207,40
208,42
209,55
210,51
211,43
212,46
213,32
214,39
215,52
216,45
217,35
218,38
219,46
220,45
221,38
222,30
223,29
224,37
225,42
226,33
227,35
228,41
229,43
230,47
231,42
232,50
233,36
234,46
235,45
236,41
237,35
238,35
239,43
240,38
241,39
242,53
243,39
244,43
245,42
246,37
247,42
248,36
249,37
250,37
251,43
252,38
253,35
254,41
255,49
256,46
257,37
258,44
259,43
260,33
261,51
262,44
263,38
264,44
265,41
266,45
267,50
268,43
269,34
270,32
271,23
272,36
273,44
274,42
275,27
276,27
277,27
278,26
279,31
280,29
281,32
282,38
283,40
284,30
285,48
286,42
287,37
288,42
289,39
290,47
291,31
292,54
293,41
294,50
295,61
296,57
297,51
298,43
299,55
300,58
301,53
302,44
303,57
304,70
305,58
306,60
307,55
308,63
309,42
310,87
311,77
312,76
313,78
314,98
315,84
316,78
317,90
318,83
319,71
320,98
321,71
322,84
323,73
324,76
325,97
326,77
327,91
328,71
329,87
330,81
331,75
332,63
333,64
334,60
335,70
336,69
337,50
338,58
339,68
340,47
341,63
342,52
343,57
344,54
345,46
346,51
347,46
348,43
349,45
350,56
351,42
352,40
353,54
354,44
355,51
356,32
357,51
358,41
359,49
360,41
361,51
362,39
363,48
364,54
365,60
366,49
367,34
368,42
369,45
370,44
371,51
372,42
373,30
374,45
375,53
376,42
377,50
378,39
379,43
380,38
381,43
382,47
383,49
384,50
385,45
386,37
387,46
388,35
389,45
390,27
391,29
392,40
393,43
394,40
395,40
396,49
397,36
398,34
399,46
400,48
401,51
402,41
403,43
404,56
405,61
406,65
407,59
408,74
409,76
410,83
411,94
412,74
413,67
414,89
415,80
416,102
417,102
418,101
419,95
420,112
421,102
422,130
423,108
424,146
425,130
426,144
427,119
428,128
429,137
430,125
431,127
432,140
433,127
434,137
435,112
436,141
437,119
438,132
439,107
440,119
441,107
442,101
443,85
444,96
445,90
446,96
447,94
448,89
449,63
450,68
451,65
452,60
453,53
454,53
455,52
456,51
457,50
458,43
459,46
460,56
461,65
462,42
463,49
464,45
465,47
466,40
467,39
468,43
469,49
470,50
471,50
472,57
473,54
474,51
475,55
476,55
477,60
478,49
479,53
480,50
481,60
482,46
483,49
484,43
485,74
486,57
487,53
488,59
489,62
490,58
491,66
492,45
493,44
494,55
495,46
496,60
497,55
498,46
499,59
500,37
501,53
502,53
503,68
504,58
505,49
506,63
507,58
508,59
509,62
510,73
511,76
512,61
513,70
