hash,quantity
0,46
1,53
2,54
3,52
4,57
5,52
6,41
7,41
8,42
9,55
10,26
11,46
12,35
13,34
14,40
15,31
16,29
17,38
18,24
19,20
20,30
21,28
22,26
23,16
24,22
25,21
26,18
27,31
28,15
29,27
30,28
31,19
32,15
33,20
34,24
35,18
36,20
37,24
38,30
39,29
40,21
41,37
42,32
43,32
44,50
45,40
46,48
47,44
48,30
49,44
50,45
51,57
52,52
53,44
54,52
55,58
56,64
57,49
58,47
59,51
60,60
61,53
62,46
63,57
64,50
65,50
66,43
67,35
68,40
69,43
70,33
71,40
72,35
73,29
74,33
75,35
76,18
77,30
78,30
79,23
80,24
81,26
82,24
83,10
84,21
85,19
86,17
87,26
88,15
89,24
90,10
91,20
92,20
93,35
94,26
95,26
96,26
97,37
98,26
99,26
100,20
101,32
102,26
103,34
104,33
105,29
106,38
107,57
108,38
109,45
110,46
111,38
112,48
113,48
114,42
115,51
116,43
117,31
118,38
119,33
120,33
121,45
122,34
123,45
124,40
125,34
126,40
127,27
128,27
129,32
130,34
131,29
132,32
133,25
134,22
135,16
136,24
137,21
138,16
139,24
140,13
141,14
142,13
143,13
144,17
145,11
146,17
147,11
148,15
149,14
150,19
151,23
152,20
153,16
154,21
155,19
156,23
157,23
158,21
159,26
160,28
161,32
162,25
163,28
164,38
165,38
166,35
167,40
168,34
169,36
170,35
171,41
172,38
173,49
174,30
175,51
176,37
177,30
178,35
179,35
180,49
181,31
182,38
183,34
184,27
185,27
186,23
187,18
188,29
189,37
190,28
191,28
192,22
193,10
194,20
195,14
196,24
197,19
198,20
199,15
200,14
201,25
202,16
203,11
204,13
205,16
206,17
207,23
208,20
209,22
210,29
211,25
212,29
213,22
214,26
215,28
216,30
217,32
218,33
219,42
220,36
221,39
222,33
223,34
224,46
225,35
226,36
227,46
228,30
229,38
230,47
231,41
232,44
233,40
234,31
235,47
236,35
237,32
238,44
239,29
240,31
241,28
242,21
243,23
244,27
245,26
246,24
247,26
248,22
249,15
250,18
251,18
252,15
253,10
254,19
255,13
256,13
257,13
258,15
259,15
260,10
261,8
262,9
263,14
264,9
265,11
266,13
267,16
268,24
269,19
270,10
271,20
272,21
273,17
274,14
275,17
276,19
277,24
278,20
279,21
280,20
281,27
282,32
283,21
284,28
285,24
286,21
287,15
288,24
289,32
290,30
291,40
292,28
293,25
294,35
295,37
296,24
297,37
298,35
299,37
300,20
301,40
302,36
303,36
304,35
305,39
306,27
307,31
308,32
309,35
310,48
311,47
312,42
313,46
314,52
315,44
316,47
317,47
318,48
319,46
320,60
321,43
322,50
323,39
324,51
325,62
326,42
327,59
328,41
329,60
330,52
331,51
332,33
333,41
334,38
335,37
336,43
337,48
338,31
339,32
340,35
341,50
342,31
343,40
344,38
345,38
346,31
347,44
348,24
349,41
350,30
351,30
352,29
353,18
354,24
355,20
356,21
357,18
358,14
359,15
360,14
361,19
362,13
363,18
364,15
365,21
366,13
367,6
368,9
369,9
370,11
371,9
372,10
373,3
374,8
375,12
376,9
377,7
378,10
379,7
380,14
381,10
382,16
383,7
384,7
385,14
386,6
387,9
388,8
389,18
390,12
391,15
392,13
393,17
394,21
395,18
396,21
397,17
398,13
399,22
400,27
401,26
402,26
403,26
404,33
405,32
406,35
407,39
408,34
409,33
410,45
411,61
412,53
413,36
414,62
415,55
416,69
417,66
418,68
419,70
420,76
421,67
422,81
423,70
424,103
425,85
426,99
427,88
428,92
429,92
430,86
431,91
432,91
433,70
434,91
435,78
436,84
437,87
438,78
439,73
440,69
441,66
442,68
443,58
444,69
445,51
446,55
447,50
448,43
449,39
450,38
451,37
452,31
453,28
454,35
455,22
456,22
457,34
458,29
459,23
460,18
461,20
462,20
463,10
464,19
465,19
466,13
467,21
468,11
469,16
470,19
471,20
472,22
473,17
474,17
475,13
476,21
477,14
478,13
479,12
480,16
481,16
482,4
483,7
484,6
485,11
486,10
487,5
488,8
489,8
490,9
491,10
492,1
493,4
494,7
495,7
496,9
497,15
498,9
499,14
500,15
501,12
502,11
503,15
504,13
505,15
506,17
507,26
508,22
509,28
510,33
511,45
512,41
513,42
514,44
515,54
516,49
517,76
518,79
519,62
520,85
521,81
522,68
523,83
524,89
525,84
526,91
527,116
528,100
529,113
530,111
531,110
532,123
533,112
534,125
535,130
536,127
537,139
538,114
539,130
540,121
541,102
542,119
543,129
544,131
545,137
546,118
547,120
548,109
549,93
550,93
551,85
552,100
553,89
554,94
555,84
556,84
557,73
558,60
559,63
560,45
561,65
562,50
563,48
564,49
565,48
566,39
567,32
568,30
569,37
570,27
571,27
572,29
573,21
574,20
575,16
576,16
577,22
578,20
579,15
580,16
581,14
582,21
583,18
584,17
585,14
586,9
587,17
588,12
589,7
590,18
591,21
592,14
593,18
594,19
595,18
596,21
597,18
598,13
599,13
600,21
601,17
602,20
603,15
604,19
605,7
606,17
607,23
608,25
609,23
610,30
611,20
612,28
613,37
614,45
615,53
616,55
617,87
618,66
619,61
620,69
621,72
622,82
623,86
624,78
625,94
626,88
627,123
628,111
629,141
630,131
631,135
632,127
633,157
634,130
635,150
636,154
637,175
638,155
639,157
640,181
641,181
642,172
643,180
644,159
645,184
646,180
647,200
648,165
649,193
650,186
651,168
652,169
653,158
654,142
655,190
656,134
657,168
658,147
659,158
660,133
661,119
662,107
663,109
664,111
665,116
666,91
667,93
668,99
669,78
670,74
671,83
672,75
673,80
674,66
675,50
676,59
677,51
678,45
679,43
680,46
681,34
682,43
683,38
684,34
685,40
686,40
687,35
688,30
689,29
690,34
691,28
692,31
693,29
694,22
695,24
696,24
697,22
698,24
699,29
700,25
701,35
702,22
703,17
704,21
705,19
706,19
707,27
708,23
709,22
710,33
711,31
712,29
713,35
714,38
715,39
716,43
717,43
718,49
719,50
720,56
721,52
722,54
723,61
724,76
725,71
726,89
727,75
728,83
729,97
730,117
731,137
732,128
733,122
734,138
735,153
736,122
737,136
738,148
739,152
740,168
741,196
742,198
743,198
744,212
745,234
746,211
747,221
748,205
749,212
750,220
751,243
752,227
753,182
754,210
755,221
756,215
757,215
758,223
759,204
760,195
761,186
762,204
763,201
764,183
765,191
766,174
767,152
768,163
769,159
770,154
771,154
772,154
773,125
774,127
775,129
776,125
777,115
778,108
779,104
780,74
781,102
782,88
783,79
784,86
785,76
786,80
787,65
788,57
789,61
790,55
791,53
792,41
793,56
794,40
795,51
796,46
797,48
798,53
799,42
800,42
801,33
802,44
803,35
804,41
805,25
806,29
807,40
808,34
809,38
810,33
811,38
812,36
813,46
814,36
815,40
816,42
817,45
818,40
819,34
820,48
821,47
822,47
823,45
824,56
825,58
826,69
827,63
828,65
829,79
830,81
831,79
832,72
833,104
834,100
835,113
836,106
837,107
838,145
839,154
840,140
841,151
842,152
843,166
844,164
845,178
846,191
847,186
848,196
849,210
850,210
851,199
852,208
853,236
854,233
855,234
856,252
857,217
858,246
859,238
860,244
861,233
862,223
863,246
864,244
865,231
866,255
867,230
868,227
869,219
870,241
871,182
872,210
873,191
874,206
875,194
876,205
877,188
878,179
879,193
880,144
881,154
882,166
883,151
884,174
885,137
886,129
887,128
888,134
889,106
890,102
891,107
892,120
893,95
894,95
895,106
896,86
897,87
898,97
899,81
900,71
901,65
902,76
903,73
904,45
905,61
906,49
907,75
908,62
909,53
910,55
911,57
912,50
913,52
914,50
915,53
916,51
917,47
918,55
919,58
920,55
921,47
922,39
923,38
924,48
925,65
926,59
927,55
928,47
929,62
930,51
931,63
932,56
933,66
934,60
935,71
936,70
937,78
938,75
939,92
940,81
941,98
942,105
943,111
944,126
945,134
946,145
947,137
948,123
949,154
950,130
951,152
952,154
953,163
954,165
955,181
956,205
957,183
958,211
959,228
960,207
961,209
962,204
963,197
964,234
965,240
966,236
967,248
968,243
969,241
970,229
971,223
972,240
973,240
974,241
975,212
976,207
977,234
978,219
979,217
980,203
981,239
982,222
983,184
984,200
985,200
986,181
987,180
988,172
989,159
990,168
991,177
992,144
993,146
994,123
995,135
996,110
997,157
998,135
999,117
1000,114
1001,111
1002,113
1003,90
1004,109
1005,97
1006,76
1007,84
1008,80
1009,92
1010,84
1011,81
1012,59
1013,64
1014,73
1015,61
1016,63
1017,48
1018,63
1019,47
1020,55
1021,53
1022,55
1023,55
1024,53
1025,55
1026,36
1027,48
1028,59
1029,56
1030,53
1031,45
1032,45
1033,50
1034,56
1035,48
1036,58
1037,52
1038,60
1039,53
1040,56
1041,60
1042,75
1043,60
1044,66
1045,78
1046,76
1047,84
1048,82
1049,89
1050,92
1051,110
1052,88
1053,123
1054,93
1055,98
1056,109
1057,114
1058,151
1059,149
1060,154
1061,157
1062,169
1063,137
1064,176
1065,151
1066,162
1067,171
1068,176
1069,177
1070,172
1071,188
1072,187
1073,221
1074,221
1075,188
1076,182
1077,173
1078,199
1079,211
