hash,quantity
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,3
50,7
51,7
52,3
53,3
54,3
55,3
56,2
57,3
58,0
59,2
60,3
61,4
62,2
63,5
64,4
65,9
66,13
67,13
68,21
69,15
70,25
71,22
72,26
73,43
74,42
75,57
76,84
77,128
78,172
79,197
80,221
81,331
82,438
83,533
84,766
85,1011
86,1316
87,1703
88,2318
89,2963
90,3708
91,4724
92,5652
93,6774
94,7824
95,8666
96,9258
97,9232
98,8567
99,7128
100,4833
101,2807
102,1301
103,432
104,99
105,17
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,3
144,2
145,3
146,18
147,10
148,18
149,22
150,22
151,32
152,17
153,24
154,43
155,19
156,13
157,18
158,8
159,8
160,3
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,12
169,8
170,33
171,43
172,93
173,99
174,225
175,180
176,331
177,233
178,386
179,234
180,294
181,179
182,139
183,90
184,52
185,40
186,21
187,19
188,14
189,12
190,6
191,3
192,3
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,2
227,1
228,1
229,2
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,0
244,2
245,3
246,3
247,2
248,3
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,3
313,6
314,4
315,8
316,5
317,5
318,7
319,2
320,5
321,4
322,3
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,4
369,3
370,2
371,0
372,1
373,2
374,1
375,0
376,1
377,1
378,0
379,3
380,0
381,1
382,1
383,2
384,6
385,15
386,18
387,38
388,47
389,61
390,58
391,67
392,71
393,50
394,34
395,41
396,30
397,32
398,25
399,16
400,10
401,7
402,9
403,10
404,4
405,2
406,3
407,1
408,1
409,0
410,0
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,1
429,1
430,4
431,3
432,6
433,31
434,37
435,39
436,46
437,49
438,40
439,21
440,18
441,9
442,10
443,4
444,3
445,1
446,2
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,2
462,2
463,1
464,0
465,2
466,3
467,3
468,1
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,1
498,3
499,2
500,13
501,25
502,28
503,49
504,50
505,80
506,57
507,76
508,76
509,77
510,61
511,33
512,52
513,14
514,24
515,16
516,26
517,18
518,13
519,9
520,13
521,10
522,6
523,2
524,1
525,0
526,1
527,0
