hash,quantity
0,0
1,0
2,1
3,5
4,6
5,18
6,29
7,42
8,57
9,70
10,54
11,59
12,28
13,37
14,15
15,17
16,24
17,40
18,50
19,78
20,87
21,103
22,129
23,103
24,64
25,41
26,21
27,9
28,6
29,4
30,2
31,1
32,0
33,2
34,0
35,0
36,0
37,1
38,3
39,3
40,1
41,4
42,3
43,0
44,1
45,1
46,0
47,0
48,1
49,3
50,7
51,7
52,3
53,3
54,3
55,3
56,2
57,3
58,1
59,3
60,3
61,4
62,3
63,5
64,8
65,9
66,14
67,16
68,23
69,15
70,25
71,22
72,27
73,43
74,43
75,58
76,89
77,136
78,183
79,210
80,232
81,354
82,474
83,555
84,814
85,1056
86,1374
87,1773
88,2372
89,3007
90,3737
91,4753
92,5680
93,6790
94,7875
95,8702
96,9371
97,9403
98,8699
99,7537
100,5155
101,3206
102,1932
103,808
104,703
105,787
106,379
107,570
108,452
109,255
110,312
111,170
112,69
113,81
114,21
115,9
116,14
117,15
118,21
119,12
120,15
121,2
122,4
123,0
124,1
125,2
126,1
127,8
128,11
129,6
130,4
131,0
132,0
133,4
134,7
135,6
136,11
137,14
138,8
139,9
140,17
141,14
142,5
143,8
144,7
145,6
146,2
147,9
148,8
149,6
150,5
151,2
152,3
153,0
154,0
155,2
156,0
157,1
158,5
159,11
160,10
161,14
162,18
163,21
164,15
165,12
166,12
167,7
168,9
169,2
170,4
171,0
172,0
173,2
174,2
175,1
176,1
177,0
178,1
179,0
180,0
181,1
182,0
183,5
184,12
185,19
186,25
187,25
188,33
189,28
190,24
191,16
192,9
193,13
194,3
195,7
196,3
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,3
211,1
212,4
213,6
214,8
215,15
216,15
217,40
218,34
219,42
220,70
221,42
222,20
223,68
224,138
225,145
226,58
227,50
228,192
229,303
230,210
231,100
232,131
233,320
234,392
235,240
236,139
237,154
238,217
239,180
240,68
241,26
242,11
243,9
244,5
245,9
246,8
247,24
248,49
249,61
250,79
251,94
252,94
253,77
254,56
255,55
256,23
257,13
258,9
259,4
260,5
261,6
262,2
263,1
264,2
265,0
266,2
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,3
279,1
280,2
281,10
282,17
283,50
284,52
285,85
286,101
287,138
288,139
289,122
290,93
291,82
292,73
293,75
294,63
295,71
296,75
297,53
298,41
299,36
300,32
301,34
302,25
303,18
304,9
305,3
306,7
307,2
308,2
309,3
310,0
311,1
312,1
313,4
314,3
315,6
316,4
317,4
318,3
319,2
320,2
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,2
349,3
350,2
351,11
352,24
353,29
354,43
355,86
356,115
357,124
358,149
359,116
360,129
361,78
362,71
363,31
364,23
365,7
366,8
367,7
368,7
369,9
370,7
371,3
372,3
373,2
374,1
375,0
376,4
377,2
378,9
379,5
380,11
381,14
382,18
383,35
384,39
385,67
386,97
387,107
388,140
389,106
390,135
391,96
392,72
393,37
394,19
395,5
396,4
397,3
398,2
399,2
400,3
401,1
402,3
403,4
404,1
405,1
406,1
407,1
408,3
409,3
410,2
411,3
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,1
422,1
423,2
424,2
425,1
426,0
427,2
428,11
429,9
430,31
431,48
432,93
433,128
434,208
435,230
436,397
437,342
438,432
439,379
440,386
441,356
442,219
443,208
444,118
445,67
446,36
447,13
448,18
449,8
450,5
451,5
452,3
453,0
454,0
455,1
456,3
457,3
458,13
459,25
460,28
461,49
462,50
463,80
464,54
465,72
466,68
467,73
468,57
469,22
470,31
471,5
472,10
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,3
493,0
494,0
495,2
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,2
523,2
524,25
525,20
526,71
527,113
