hash,quantity
0,3
1,0
2,2
3,0
4,2
5,1
6,2
7,1
8,2
9,2
10,1
11,2
12,3
13,1
14,1
15,2
16,0
17,1
18,4
19,1
20,2
21,1
22,1
23,0
24,0
25,0
26,1
27,0
28,2
29,1
30,1
31,1
32,0
33,4
34,0
35,2
36,0
37,1
38,2
39,2
40,1
41,1
42,1
43,2
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,2
52,1
53,0
54,2
55,2
56,3
57,2
58,0
59,0
60,1
61,1
62,1
63,2
64,3
65,3
66,3
67,1
68,2
69,2
70,3
71,1
72,1
73,1
74,1
75,1
76,3
77,0
78,1
79,1
80,1
81,2
82,0
83,1
84,0
85,2
86,3
87,1
88,1
89,3
90,1
91,1
92,1
93,2
94,4
95,2
96,1
97,3
98,0
99,2
100,2
101,0
102,0
103,1
104,3
105,3
106,1
107,1
108,1
109,2
110,0
111,2
112,0
113,2
114,2
115,1
116,1
117,2
118,2
119,5
120,0
121,1
122,1
123,3
124,0
125,0
126,1
127,0
128,3
129,1
130,1
131,0
132,0
133,2
134,0
135,0
136,1
137,0
138,1
139,0
140,0
141,1
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,2
154,1
155,0
156,0
157,0
158,0
159,2
160,1
161,1
162,0
163,1
164,3
165,1
166,0
167,0
168,2
169,0
170,1
171,0
172,0
173,0
174,1
175,3
176,2
177,1
178,2
179,3
180,1
181,1
182,1
183,1
184,2
185,2
186,1
187,2
188,4
189,3
190,3
191,1
192,1
193,0
194,2
195,1
196,3
197,2
198,1
199,1
200,2
201,1
202,1
203,1
204,2
205,1
206,1
207,0
208,1
209,1
210,2
211,3
212,1
213,1
214,0
215,0
216,3
217,1
218,0
219,1
220,1
221,4
222,1
223,2
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,2
233,0
234,1
235,4
236,2
237,0
238,1
239,1
240,4
241,2
242,2
243,2
244,0
245,2
246,0
247,1
248,2
249,0
250,0
251,3
252,3
253,1
254,1
255,2
256,0
257,0
258,2
259,0
260,1
261,0
262,1
263,0
264,1
265,2
266,1
267,1
268,3
269,1
270,1
271,1
272,0
273,1
274,3
275,0
276,1
277,1
278,0
279,1
280,0
281,2
282,0
283,1
284,1
285,0
286,0
287,1
288,3
289,1
290,2
291,0
292,2
293,0
294,1
295,3
296,3
297,0
298,1
299,0
300,2
301,3
302,1
303,1
304,0
305,1
306,0
307,2
308,2
309,3
310,0
311,4
312,1
313,0
314,1
315,2
316,1
317,1
318,3
319,0
320,4
321,1
322,0
323,0
324,1
325,0
326,1
327,0
328,0
329,0
330,3
331,1
332,1
333,1
334,3
335,2
336,0
337,0
338,0
339,0
340,2
341,0
342,2
343,0
344,1
345,0
346,1
347,0
348,1
349,0
350,1
351,1
352,1
353,2
354,0
355,1
356,1
357,2
358,3
359,0
360,0
361,0
362,2
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,1
386,3
387,1
388,0
389,3
390,1
391,1
392,2
393,2
394,3
395,0
396,1
397,0
398,0
399,1
400,1
401,1
402,3
403,2
404,0
405,1
406,3
407,1
408,3
409,2
410,1
411,0
412,1
413,0
414,3
415,2
416,1
417,1
418,2
419,4
420,2
421,1
422,2
423,3
424,1
425,0
426,3
427,2
428,0
429,0
430,1
431,0
432,1
433,3
434,2
435,1
436,3
437,2
438,0
439,0
440,1
441,5
442,1
443,1
444,2
445,0
446,2
447,1
448,1
449,0
450,1
451,2
452,1
453,1
454,0
455,2
456,2
457,0
458,0
459,4
460,1
461,2
462,0
463,0
464,0
465,2
466,1
467,3
468,1
469,2
470,4
471,0
472,1
473,0
474,1
475,2
476,3
477,0
478,0
479,0
480,2
481,1
482,2
483,2
484,4
485,0
486,0
487,2
488,1
489,1
490,0
491,1
492,1
493,2
494,1
495,0
496,0
497,2
498,0
499,1
500,0
501,1
502,0
503,2
504,0
505,2
506,2
507,0
508,0
509,3
510,2
511,2
512,1
513,0
514,1
515,0
516,0
517,1
518,0
519,0
520,2
521,1
522,3
523,1
524,0
525,2
526,0
527,3
528,5
529,0
530,0
531,1
532,1
533,2
534,0
535,1
536,1
537,2
538,2
539,1
540,2
541,0
542,1
543,1
544,3
545,0
546,2
547,2
548,0
549,1
550,2
551,2
552,3
553,1
554,2
555,0
556,3
557,0
558,1
559,0
560,1
561,3
562,1
563,0
564,1
565,2
566,0
567,0
568,3
569,2
570,1
571,1
572,0
573,0
574,3
575,1
576,0
577,1
578,1
579,2
580,2
581,2
582,2
583,3
584,1
585,1
586,3
587,1
588,2
589,2
590,1
591,0
592,3
593,0
594,1
595,1
596,1
597,0
598,1
599,1
600,1
601,1
602,2
603,0
604,0
605,2
606,0
607,3
608,1
609,2
610,1
611,2
612,0
613,0
614,1
615,3
616,1
617,1
618,2
619,2
620,2
621,0
622,1
623,1
624,1
625,3
626,1
627,0
628,1
629,2
630,0
631,2
632,0
633,1
634,0
635,1
636,1
637,2
638,1
639,1
640,1
641,0
642,2
643,2
644,2
645,3
646,1
647,1
648,0
649,2
650,1
651,2
652,1
653,2
654,2
655,2
656,3
657,0
658,1
659,3
660,0
661,1
662,0
663,3
664,1
665,2
666,2
667,1
668,1
669,3
670,6
671,3
672,3
673,2
674,3
675,1
676,1
677,1
678,1
679,0
680,2
681,1
682,1
683,4
684,0
685,1
686,0
687,0
688,0
689,0
690,2
691,2
692,1
693,1
694,2
695,3
696,1
697,1
698,0
699,0
700,2
701,1
702,0
703,1
704,2
705,1
706,1
707,0
708,3
709,0
710,0
711,2
712,1
713,0
714,1
715,2
716,1
717,0
718,1
719,1
720,0
721,1
722,2
723,1
724,0
725,0
726,0
727,2
728,0
729,2
730,3
731,2
732,2
733,1
734,1
735,2
736,0
737,1
738,1
739,2
740,4
741,2
742,2
743,0
744,0
745,0
746,1
747,0
748,0
749,2
750,3
751,1
752,4
753,2
754,1
755,2
756,1
757,0
758,2
759,1
760,2
761,0
762,0
763,3
764,0
765,2
766,1
767,0
768,0
769,2
770,0
771,0
772,3
773,3
774,1
775,0
776,0
777,2
778,2
779,2
780,0
781,1
782,0
783,2
784,2
785,1
786,0
787,3
788,0
789,1
790,0
791,2
792,1
793,1
794,1
795,1
796,3
797,0
798,0
799,0
800,1
801,2
802,0
803,0
804,0
805,2
806,1
807,1
808,1
809,3
810,3
811,2
812,4
813,3
814,1
815,3
816,1
817,1
818,0
819,3
820,1
821,0
822,0
823,1
824,3
825,0
826,1
827,1
828,1
829,1
830,1
831,0
832,2
833,2
834,1
835,0
836,1
837,2
838,1
839,1
840,1
841,2
842,4
843,1
844,2
845,0
846,0
847,2
848,1
849,3
850,4
851,0
852,1
853,2
854,4
855,1
856,0
857,2
858,0
859,1
860,2
861,1
862,3
863,5
864,1
865,1
866,0
867,1
868,0
869,0
870,0
871,4
872,3
873,1
874,0
875,1
876,1
877,2
878,2
879,1
880,2
881,2
882,2
883,2
884,3
885,4
886,1
887,0
888,2
889,1
890,3
891,2
892,2
893,1
894,2
895,0
896,0
897,2
898,2
899,2
900,2
901,2
902,1
903,0
904,0
905,0
906,4
907,1
908,1
909,1
910,1
911,0
912,1
913,1
914,3
915,1
916,1
917,3
918,0
919,0
920,2
921,1
922,2
923,0
924,2
925,1
926,3
927,0
928,0
929,3
930,0
931,2
932,1
933,0
934,0
935,0
936,1
937,2
938,0
939,2
940,2
941,2
942,2
943,0
944,2
945,2
946,2
947,0
948,1
949,2
950,0
951,1
952,2
953,0
954,1
955,2
956,0
957,2
958,0
959,2
960,0
961,1
962,0
963,1
964,0
965,2
966,2
967,2
968,0
969,1
970,0
971,2
972,2
973,3
974,0
975,1
976,0
977,0
978,1
979,1
980,1
981,0
982,1
983,3
984,4
985,2
986,1
987,3
988,4
989,2
990,0
991,2
992,1
993,1
994,2
995,0
996,0
997,2
998,2
999,0
1000,1
1001,1
1002,3
1003,1
1004,2
1005,1
1006,0
1007,3
1008,0
1009,1
1010,2
1011,1
1012,1
1013,1
1014,0
1015,0
1016,0
1017,0
1018,1
1019,1
1020,0
1021,0
1022,0
1023,3
1024,2
1025,1
1026,1
1027,0
1028,3
1029,0
1030,1
1031,1
1032,2
1033,0
1034,0
1035,4
1036,1
1037,0
1038,0
1039,1
1040,3
1041,0
1042,0
1043,2
1044,1
1045,2
1046,2
1047,0
1048,4
1049,1
1050,2
1051,2
1052,3
1053,2
1054,2
1055,2
1056,1
1057,0
1058,0
1059,1
1060,3
1061,2
1062,0
1063,1
1064,1
1065,3
1066,0
1067,0
1068,2
1069,0
1070,0
1071,1
1072,1
1073,0
1074,1
1075,0
1076,0
1077,2
1078,2
1079,1
1080,2
1081,3
1082,1
1083,2
1084,1
1085,3
1086,0
1087,3
1088,1
1089,2
1090,2
1091,0
1092,1
1093,2
1094,2
1095,2
1096,1
1097,0
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,1
1105,2
1106,2
1107,2
1108,0
1109,4
1110,0
1111,0
1112,3
1113,0
1114,1
1115,0
1116,1
1117,3
1118,2
1119,0
1120,5
1121,1
1122,2
1123,1
1124,3
1125,0
1126,0
1127,1
1128,2
1129,0
1130,3
1131,0
1132,1
1133,0
1134,5
1135,2
1136,0
1137,2
1138,2
1139,0
1140,0
1141,1
1142,3
1143,1
1144,2
1145,3
1146,1
1147,1
1148,1
1149,1
1150,1
1151,2
1152,1
1153,1
1154,0
1155,2
1156,2
1157,2
1158,2
1159,3
1160,0
1161,1
1162,1
1163,2
1164,0
1165,2
1166,0
1167,3
1168,2
1169,2
1170,1
1171,0
1172,0
1173,4
1174,2
1175,2
1176,1
1177,1
1178,1
1179,3
1180,0
1181,3
1182,0
1183,0
1184,1
1185,1
1186,0
1187,0
1188,0
1189,0
1190,1
1191,1
1192,2
1193,1
1194,3
1195,3
1196,1
1197,0
1198,0
1199,0
1200,2
1201,0
1202,0
1203,2
1204,2
1205,1
1206,0
1207,2
1208,1
1209,0
1210,1
1211,1
1212,2
1213,1
1214,2
1215,0
1216,0
1217,1
1218,1
1219,0
1220,3
1221,2
1222,0
1223,2
1224,1
1225,2
1226,1
1227,2
1228,2
1229,1
1230,2
1231,1
1232,1
1233,0
1234,1
1235,2
1236,0
1237,0
1238,3
1239,1
1240,0
1241,1
1242,0
1243,1
1244,2
1245,1
1246,1
1247,0
1248,1
1249,1
1250,0
1251,1
1252,2
1253,4
1254,2
1255,0
1256,1
1257,0
1258,0
1259,1
1260,1
1261,0
1262,3
1263,0
1264,0
1265,2
1266,2
1267,1
1268,2
1269,0
1270,0
1271,1
1272,0
1273,2
1274,1
1275,1
1276,2
1277,2
1278,1
1279,0
1280,2
1281,0
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,1
1289,3
1290,0
1291,0
1292,3
1293,1
1294,4
1295,1
1296,2
1297,1
1298,0
1299,4
1300,0
1301,0
1302,1
1303,0
1304,2
1305,1
1306,0
1307,0
1308,0
1309,1
1310,1
1311,0
1312,2
1313,1
1314,0
1315,0
1316,0
1317,4
1318,0
1319,1
1320,1
1321,0
1322,1
1323,1
1324,0
1325,0
1326,2
1327,2
1328,3
1329,0
1330,3
1331,3
1332,1
1333,1
1334,0
1335,3
1336,2
1337,1
1338,0
1339,0
1340,1
1341,0
1342,0
1343,2
1344,0
1345,1
1346,1
1347,1
1348,1
1349,2
1350,0
1351,1
1352,2
1353,2
1354,1
1355,0
1356,0
1357,3
1358,0
1359,0
1360,1
1361,1
1362,1
1363,1
1364,0
1365,0
1366,4
1367,4
1368,2
1369,1
1370,0
1371,4
1372,1
1373,1
1374,0
1375,0
1376,2
1377,1
1378,1
1379,1
1380,1
1381,1
1382,0
1383,2
1384,2
1385,1
1386,1
1387,0
1388,3
1389,0
1390,0
1391,0
1392,2
1393,1
1394,2
1395,2
1396,1
1397,3
1398,1
1399,1
1400,0
1401,2
1402,2
1403,1
1404,2
1405,0
1406,0
1407,2
1408,1
1409,0
1410,1
1411,3
1412,2
1413,3
1414,0
1415,1
1416,3
1417,1
1418,3
1419,0
1420,0
1421,0
1422,2
1423,1
1424,0
1425,2
1426,1
1427,2
1428,2
1429,2
1430,1
1431,1
1432,0
1433,1
1434,0
1435,2
1436,1
1437,0
1438,1
1439,0
1440,1
1441,5
1442,1
1443,0
1444,2
1445,2
1446,3
1447,0
1448,1
1449,1
1450,0
1451,2
1452,1
1453,1
1454,0
1455,1
1456,2
1457,3
1458,3
1459,0
1460,0
1461,4
1462,1
1463,1
1464,5
1465,2
1466,2
1467,2
1468,0
1469,0
1470,0
1471,3
1472,1
1473,1
1474,1
1475,1
1476,0
1477,0
1478,0
1479,0
1480,0
1481,2
1482,2
1483,2
1484,0
1485,1
1486,2
1487,0
1488,2
1489,2
1490,1
1491,3
1492,1
1493,1
1494,1
1495,1
1496,0
1497,0
1498,1
1499,1
1500,0
1501,0
1502,0
1503,0
1504,1
1505,3
1506,5
1507,0
1508,2
1509,2
1510,0
1511,2
1512,5
1513,1
1514,4
1515,1
1516,2
1517,1
1518,1
1519,2
1520,0
1521,1
1522,0
1523,1
1524,1
1525,1
1526,1
1527,0
1528,1
1529,0
1530,1
1531,0
1532,1
1533,1
1534,0
1535,1
1536,0
1537,1
1538,1
1539,1
1540,0
1541,1
1542,2
1543,0
1544,0
1545,2
1546,7
1547,2
1548,0
1549,1
1550,0
1551,1
1552,3
1553,2
1554,1
1555,2
1556,3
1557,2
1558,2
1559,3
1560,1
1561,2
1562,0
1563,1
1564,0
1565,1
1566,2
1567,2
1568,0
1569,1
1570,1
1571,1
1572,0
1573,3
1574,0
1575,2
1576,0
1577,5
1578,0
1579,0
1580,2
1581,1
1582,3
1583,1
1584,4
1585,3
1586,0
1587,1
1588,1
1589,2
1590,0
1591,0
1592,0
1593,1
1594,2
1595,2
1596,3
1597,0
1598,2
1599,1
1600,0
1601,0
1602,1
1603,1
1604,0
1605,3
1606,1
1607,0
1608,1
1609,0
1610,0
1611,1
1612,2
1613,4
1614,1
1615,2
1616,1
1617,0
1618,0
1619,0
1620,2
1621,1
1622,0
1623,2
1624,1
1625,0
1626,0
1627,0
1628,0
1629,1
1630,1
1631,2
1632,2
1633,0
1634,1
1635,1
1636,2
1637,0
1638,2
1639,0
1640,1
1641,2
1642,0
1643,2
1644,1
1645,1
1646,0
1647,2
1648,2
1649,3
1650,1
1651,2
1652,1
1653,0
1654,1
1655,3
1656,4
1657,0
1658,0
1659,1
1660,2
1661,0
1662,3
1663,2
1664,0
1665,2
1666,0
1667,0
1668,1
1669,3
1670,1
1671,1
1672,2
1673,1
1674,4
1675,0
1676,3
1677,0
1678,0
1679,1
1680,2
1681,0
1682,1
1683,2
1684,0
1685,0
1686,0
1687,1
1688,0
1689,1
1690,1
1691,1
1692,1
1693,1
1694,0
1695,1
1696,4
1697,0
1698,1
1699,3
1700,2
1701,0
1702,0
1703,0
1704,1
1705,2
1706,4
1707,1
1708,1
1709,0
1710,0
1711,1
1712,2
1713,1
1714,1
1715,0
1716,1
1717,1
1718,1
1719,1
1720,3
1721,0
1722,2
1723,1
1724,0
1725,0
1726,1
1727,1
1728,3
1729,0
1730,2
1731,1
1732,2
1733,1
1734,3
1735,0
1736,0
1737,1
1738,3
1739,3
1740,2
1741,3
1742,0
1743,1
1744,2
1745,1
1746,0
1747,2
1748,2
1749,1
1750,1
1751,2
