hash,quantity
0,133
1,139
2,141
3,117
4,139
5,130
6,128
7,128
8,146
9,143
10,133
11,135
12,114
13,140
14,114
15,143
16,142
17,144
18,151
19,135
20,123
21,120
22,132
23,141
24,122
25,130
26,141
27,165
28,108
29,134
30,130
31,131
32,109
33,136
34,137
35,127
36,145
37,132
38,147
39,151
40,134
41,141
42,127
43,137
44,129
45,138
46,142
47,150
48,136
49,142
50,138
51,151
52,144
53,138
54,137
55,136
56,132
57,150
58,128
59,128
60,145
61,144
62,136
63,131
64,126
65,162
66,129
67,143
68,137
69,132
70,142
71,115
72,145
73,132
74,151
75,145
76,130
77,134
78,157
79,146
80,127
81,124
82,131
83,130
84,126
85,126
86,147
87,144
88,134
89,143
90,153
91,151
92,138
93,145
94,139
95,148
96,136
97,142
98,136
99,141
100,149
101,163
102,155
103,128
104,140
105,139
106,135
107,140
108,120
109,106
110,129
111,147
112,154
113,132
114,143
115,152
116,135
117,140
118,136
119,149
120,140
121,131
122,148
123,138
124,151
125,145
126,120
127,149
128,154
129,143
130,137
131,132
132,134
133,144
134,138
135,127
136,127
137,158
138,145
139,132
140,138
141,149
142,123
143,158
144,154
145,144
146,127
147,128
148,151
149,127
150,141
151,150
152,153
153,137
154,131
155,131
156,140
157,135
158,126
159,156
160,136
161,139
162,142
163,116
164,139
165,145
166,138
167,118
168,136
169,139
170,139
171,134
172,144
173,173
174,142
175,134
176,130
177,120
178,141
179,128
180,132
181,122
182,105
183,135
184,133
185,144
186,118
187,142
188,139
189,144
190,113
191,146
192,133
193,144
194,148
195,156
196,136
197,135
198,127
199,146
200,124
201,132
202,151
203,117
204,134
205,150
206,126
207,126
208,124
209,133
210,142
211,134
212,142
213,143
214,166
215,159
216,140
217,158
218,123
219,151
220,157
221,114
222,130
223,129
224,158
225,150
226,144
227,122
228,115
229,149
230,144
231,108
232,130
233,120
234,143
235,149
236,138
237,133
238,141
239,139
240,130
241,119
242,137
243,138
244,128
245,145
246,144
247,154
248,131
249,146
250,132
251,147
252,131
253,144
254,143
255,135
256,149
257,127
258,129
259,133
260,142
261,129
262,146
263,124
264,115
265,145
266,164
267,143
268,136
269,137
270,147
271,114
272,154
273,148
274,149
275,113
276,135
277,140
278,143
279,143
280,143
281,134
282,134
283,142
284,154
285,146
286,130
287,141
288,146
289,163
290,130
291,128
292,145
293,123
294,150
295,167
296,134
297,157
298,127
299,143
300,119
301,151
302,121
303,117
304,155
305,126
306,148
307,140
308,147
309,149
310,134
311,132
312,158
313,153
314,154
315,143
316,140
317,132
318,147
319,132
320,148
321,124
322,123
323,138
324,140
325,143
326,147
327,131
328,157
329,145
330,139
331,135
332,131
333,155
334,137
335,130
336,136
337,144
338,148
339,122
340,156
341,137
342,135
343,138
344,139
345,144
346,126
347,142
348,140
349,159
350,134
351,137
352,133
353,153
354,136
355,148
356,126
357,125
358,138
359,145
360,139
361,131
362,141
363,131
364,134
365,133
366,144
367,143
368,138
369,163
370,135
371,148
372,149
373,133
374,165
375,140
376,131
377,123
378,140
379,135
380,163
381,144
382,145
383,130
384,141
385,123
386,153
387,146
388,138
389,138
390,153
391,151
392,121
393,159
394,135
395,144
396,135
397,149
398,143
399,130
400,126
401,135
402,138
403,130
404,150
405,135
406,139
407,132
408,165
409,131
410,131
411,161
412,116
413,145
414,136
415,161
416,146
417,145
418,137
419,139
420,131
421,138
422,107
423,143
424,153
425,144
426,151
427,135
428,124
429,145
430,135
431,161
432,150
433,147
434,129
435,147
436,144
437,141
438,154
439,118
440,124
441,144
442,129
443,122
444,159
445,131
446,151
447,137
448,145
449,147
450,139
451,138
452,138
453,151
454,143
455,122
456,114
457,162
458,153
459,166
460,155
461,134
462,143
463,123
464,154
465,140
466,145
467,137
468,123
469,137
470,135
471,134
472,154
473,144
474,141
475,146
476,138
477,148
478,135
479,129
480,138
481,134
482,136
483,144
484,131
485,144
486,147
487,124
488,112
489,154
490,122
491,148
492,136
493,125
494,140
495,126
496,153
497,136
498,135
499,159
500,141
501,125
502,140
503,122
504,135
505,148
506,143
507,137
508,131
509,113
510,150
511,135
512,129
513,129
514,134
515,124
516,166
517,124
518,128
519,139
520,144
521,147
522,131
523,162
524,146
525,170
526,128
527,138
528,129
529,120
530,133
531,128
532,158
533,155
534,152
535,143
536,154
537,158
538,123
539,134
540,152
541,130
542,143
543,126
544,148
545,134
546,114
547,128
548,148
549,147
550,130
551,168
552,112
553,125
554,126
555,145
556,148
557,120
558,145
559,148
560,145
561,135
562,138
563,125
564,124
565,155
566,131
567,124
568,149
569,137
570,124
571,132
572,148
573,125
574,127
575,113
576,160
577,140
578,127
579,124
580,127
581,132
582,132
583,144
584,131
585,151
586,131
587,138
588,147
589,148
590,141
591,119
592,124
593,142
594,146
595,117
596,140
597,147
598,157
599,130
600,135
601,137
602,118
603,138
604,144
605,117
606,141
607,133
608,137
609,125
610,142
611,152
612,124
613,133
614,126
615,135
616,124
617,145
618,131
619,131
620,125
621,142
622,144
623,115
624,141
625,161
626,145
627,139
628,133
629,158
630,126
631,139
632,152
633,135
634,136
635,149
636,146
637,136
638,139
639,143
640,139
641,135
642,125
643,129
644,146
645,142
646,138
647,124
648,144
649,124
650,137
651,152
652,149
653,147
654,149
655,145
656,143
657,146
658,128
659,127
660,135
661,145
662,150
663,144
664,117
665,141
666,114
667,125
668,135
669,128
670,145
671,142
672,147
673,113
674,147
675,140
676,130
677,147
678,161
679,140
680,130
681,133
682,131
683,124
684,146
685,137
686,136
687,139
688,149
689,124
690,154
691,159
692,137
693,122
694,147
695,157
696,143
697,145
698,134
699,127
700,150
701,129
702,136
703,147
704,128
705,135
706,149
707,127
708,135
709,139
710,111
711,125
712,140
713,149
714,141
715,156
716,141
717,131
718,136
719,142
720,161
721,143
722,158
723,134
724,152
725,153
726,139
727,127
728,150
729,126
730,142
731,145
732,145
733,141
734,153
735,129
736,148
737,116
738,130
739,115
740,134
741,141
742,136
743,139
744,144
745,133
746,131
747,128
748,123
749,136
750,149
751,127
752,122
753,140
754,145
755,120
756,158
757,107
758,126
759,136
760,145
761,159
762,139
763,133
764,148
765,120
766,148
767,146
768,137
769,130
770,126
771,138
772,137
773,135
774,161
775,143
776,154
777,119
778,156
779,158
780,152
781,123
782,147
783,154
784,145
785,136
786,132
787,131
788,124
789,130
790,139
791,138
792,143
793,147
794,130
795,171
796,120
797,158
798,138
799,132
800,129
801,143
802,126
803,151
804,132
805,96
806,148
807,134
808,126
809,127
810,118
811,145
812,124
813,165
814,135
815,137
816,138
817,125
818,112
819,130
820,158
821,146
822,153
823,130
824,134
825,119
826,131
827,126
828,147
829,132
830,134
831,136
832,109
833,140
834,133
835,119
836,140
837,158
838,149
839,112
840,119
841,148
842,136
843,144
844,124
845,131
846,138
847,127
848,151
849,137
850,150
851,126
852,139
853,128
854,136
855,125
856,139
857,151
858,117
859,140
860,136
861,128
862,137
863,127
864,133
865,144
866,165
867,138
868,132
869,148
870,143
871,138
872,144
873,126
874,124
875,149
876,145
877,142
878,157
879,135
880,134
881,114
882,155
883,153
884,143
885,130
886,146
887,148
888,144
889,161
890,131
891,131
892,130
893,128
894,131
895,135
896,113
897,152
898,123
899,139
900,146
901,148
902,149
903,147
904,148
905,132
906,136
907,147
908,130
909,124
910,159
911,156
912,150
913,158
914,131
915,125
916,137
917,118
918,127
919,134
920,130
921,109
922,145
923,136
924,138
925,137
926,131
927,143
928,149
929,111
930,116
931,135
932,148
933,133
934,123
935,135
936,169
937,139
938,123
939,136
940,144
941,141
942,146
943,143
944,135
945,147
946,139
947,145
948,118
949,134
950,154
951,138
952,152
953,148
954,142
955,149
956,155
957,131
958,132
959,159
960,138
961,130
962,152
963,156
964,142
965,156
966,149
967,157
968,136
969,125
970,154
971,158
972,137
973,140
974,131
975,135
976,137
977,134
978,152
979,134
980,153
981,156
982,126
983,132
984,130
985,115
986,143
987,124
988,120
989,132
990,162
991,142
992,130
993,128
994,149
995,137
996,174
997,129
998,145
999,134
1000,132
1001,156
1002,129
1003,125
1004,128
1005,122
1006,158
1007,132
1008,148
1009,143
1010,155
1011,155
1012,142
1013,142
1014,139
1015,127
1016,147
1017,132
1018,130
1019,139
1020,152
1021,108
1022,168
1023,141
1024,138
1025,154
1026,155
1027,126
1028,145
1029,155
1030,141
1031,119
1032,136
1033,159
1034,126
1035,146
1036,132
1037,116
1038,127
1039,145
1040,118
1041,141
1042,138
1043,130
1044,146
1045,169
1046,146
1047,154
1048,132
1049,143
1050,148
1051,122
1052,139
1053,149
1054,173
1055,146
1056,118
1057,144
1058,123
1059,155
1060,129
1061,113
1062,148
1063,144
1064,138
1065,134
1066,140
1067,149
1068,140
1069,135
1070,139
1071,155
1072,139
1073,147
1074,157
1075,140
1076,146
1077,140
1078,141
1079,125
1080,151
1081,129
1082,141
1083,145
1084,126
1085,153
1086,147
1087,135
1088,135
1089,169
1090,153
1091,144
1092,153
1093,161
1094,160
1095,158
1096,156
1097,158
1098,146
1099,147
1100,143
1101,124
1102,137
1103,128
1104,134
1105,124
1106,132
1107,145
1108,149
1109,128
1110,126
1111,146
1112,134
1113,143
1114,131
1115,140
1116,137
1117,147
1118,147
1119,138
1120,145
1121,128
1122,159
1123,137
1124,129
1125,139
1126,143
1127,122
1128,154
1129,113
1130,114
1131,134
1132,161
1133,142
1134,167
1135,154
1136,139
