hash,quantity
0,2
2,3
3,1
5,3
6,2
7,2
8,1
9,1
10,3
12,1
13,1
14,3
15,1
16,3
19,2
20,2
21,1
22,1
23,2
25,1
27,1
29,2
32,1
34,1
36,1
38,1
40,2
41,2
42,1
43,1
44,2
45,1
46,1
47,2
48,1
49,2
50,1
52,2
53,1
55,1
56,2
58,1
59,3
60,1
63,1
64,2
65,3
67,1
68,1
69,1
71,4
72,1
73,1
74,1
75,1
77,1
78,1
79,1
80,1
83,2
84,1
85,1
86,3
87,1
91,2
93,2
96,2
97,3
98,2
101,2
102,2
103,1
104,1
106,3
109,1
110,1
112,4
113,1
114,1
115,1
116,1
117,4
118,1
119,1
120,1
121,1
123,1
124,2
125,2
127,3
128,2
129,1
130,2
131,2
133,2
134,2
135,2
136,1
137,1
139,1
140,1
141,1
142,1
143,1
150,2
152,1
153,3
154,1
156,3
158,2
159,7
160,3
161,2
162,3
163,2
164,1
166,1
167,3
168,1
169,1
171,1
173,3
174,1
175,1
177,1
179,2
182,1
183,1
184,4
185,3
186,7
187,1
188,2
189,1
190,1
191,2
195,1
197,2
198,1
199,1
200,2
201,1
202,3
203,1
204,2
205,1
206,1
207,3
208,1
209,1
210,1
211,2
212,1
213,1
214,1
215,1
216,2
217,1
219,4
220,2
222,1
223,1
224,1
225,1
226,1
227,2
230,1
231,1
232,1
233,1
235,1
236,2
237,1
238,2
239,2
240,3
241,1
242,2
243,1
244,3
245,1
246,2
247,1
249,1
250,3
251,1
252,2
253,1
254,2
255,1
258,1
259,3
262,1
263,1
264,2
266,2
268,1
269,1
272,1
274,4
275,1
276,1
279,3
280,1
282,1
283,4
285,3
286,1
287,1
288,4
290,1
291,2
294,1
295,1
297,1
299,1
302,1
303,1
306,3
307,1
308,1
309,3
310,2
311,1
314,3
315,2
316,3
317,1
318,1
319,2
320,4
323,1
324,1
326,2
328,3
329,1
330,1
331,1
332,2
333,2
334,1
335,1
338,1
339,1
340,4
341,1
342,1
344,1
345,1
346,2
348,1
349,1
350,1
352,2
354,1
355,1
356,2
357,1
358,1
359,1
360,2
361,1
362,1
363,1
364,4
365,2
366,2
368,1
369,1
371,2
372,1
374,3
375,3
377,1
378,1
379,1
380,2
381,1
382,1
384,2
385,2
386,1
387,1
389,3
390,1
391,3
392,1
393,1
394,3
397,2
398,1
399,4
400,4
401,3
403,1
407,1
408,2
409,2
410,3
413,1
414,1
415,1
417,2
418,2
420,3
427,2
428,3
