hash,quantity
0,1
99,1
105,1
112,1
198,1
199,1
204,1
205,2
206,2
207,1
209,2
210,2
211,1
212,2
213,2
214,1
215,2
216,2
217,1
219,1
220,2
221,4
223,2
224,2
225,1
226,1
227,3
228,1
229,1
230,1
231,1
232,1
256,1
257,1
263,1
277,1
280,1
289,1
294,3
295,1
296,1
297,3
298,4
299,1
300,1
301,3
302,2
303,3
304,1
305,5
306,7
307,2
308,3
309,4
310,8
311,7
312,9
313,8
314,13
315,11
316,10
317,7
318,12
319,6
320,12
321,7
322,12
323,8
324,5
325,13
326,10
327,18
328,9
329,14
330,10
331,12
332,5
333,9
334,9
335,6
336,11
337,8
338,7
339,4
340,6
341,8
342,5
343,3
344,5
345,3
346,1
348,3
349,1
351,1
352,1
362,1
367,1
376,1
389,1
396,2
398,1
399,2
400,3
401,3
402,3
403,4
404,3
405,5
406,5
407,5
408,5
409,6
410,13
411,12
412,15
413,8
414,18
415,23
416,28
417,15
418,15
419,14
420,23
421,21
422,30
423,22
424,30
425,25
426,32
427,19
428,23
429,18
430,24
431,24
432,25
433,22
434,32
435,20
436,28
437,17
438,19
439,21
440,28
441,19
442,18
443,15
444,20
445,8
446,17
447,12
448,15
449,7
450,14
451,9
452,7
453,7
454,11
455,2
456,3
457,4
458,5
459,1
461,3
462,1
463,1
466,1
497,1
499,3
500,1
501,1
503,2
504,1
506,1
507,1
508,1
509,4
510,7
511,4
512,7
513,7
514,6
515,16
516,10
517,16
518,16
519,12
520,11
521,7
522,13
523,18
524,13
525,17
526,13
527,26
528,30
529,27
530,26
531,19
532,28
533,21
534,18
535,29
536,32
537,32
538,21
539,23
540,26
541,26
542,22
543,29
544,20
545,24
546,18
547,20
548,21
549,23
550,13
551,15
552,24
553,24
554,17
555,18
556,15
557,18
558,13
559,15
560,8
561,11
562,7
563,5
564,5
565,5
566,6
567,2
568,3
569,7
570,1
571,1
573,1
574,1
575,3
576,1
577,3
578,3
579,2
583,1
584,1
596,1
598,1
602,1
605,1
606,1
607,1
608,2
609,1
610,2
611,1
612,1
613,2
614,6
615,10
616,7
617,13
618,8
619,8
620,12
621,12
622,9
623,2
624,7
625,6
626,15
627,13
628,10
629,13
630,20
631,17
632,18
633,16
634,18
635,22
636,29
637,22
638,18
639,24
640,23
641,33
642,29
643,18
644,27
645,26
646,21
647,28
648,23
649,34
650,28
651,29
652,26
653,20
654,21
655,21
656,13
657,27
658,24
659,18
660,22
661,15
662,15
663,22
664,14
665,19
666,15
667,18
668,12
669,7
670,9
671,13
672,7
673,5
674,4
675,3
676,6
677,2
678,5
679,2
680,1
681,1
682,3
683,1
684,4
685,5
686,1
689,1
690,1
693,1
695,1
697,1
698,1
702,2
704,3
706,1
