hash,quantity
0,4
1,2
2,1
5,3
7,1
10,4
11,1
13,2
14,1
17,1
18,2
19,2
20,1
21,1
22,4
24,2
26,2
27,1
29,1
30,2
31,2
34,2
35,1
36,1
38,1
39,2
40,1
43,1
44,2
46,2
47,2
50,2
51,1
52,1
54,2
55,1
56,1
58,3
60,3
61,1
63,1
64,1
67,1
68,1
70,1
72,3
73,2
74,1
75,2
76,1
78,1
79,2
81,3
82,1
84,1
86,1
87,2
88,1
92,2
94,2
95,1
96,1
99,1
100,2
102,1
105,2
107,1
108,1
110,1
112,1
113,1
115,1
116,1
117,1
118,2
119,3
120,2
122,2
124,1
126,2
127,1
128,1
129,1
131,2
132,2
133,1
134,1
136,2
137,1
140,1
141,1
144,2
145,3
146,1
147,2
148,1
149,2
150,2
151,1
152,2
153,1
154,2
156,1
157,1
158,2
159,2
160,2
162,1
163,1
167,2
168,1
171,1
176,3
179,3
180,2
182,1
184,1
185,1
186,2
187,1
188,1
189,3
190,1
191,1
193,2
195,1
197,1
198,1
199,1
200,1
201,3
202,1
205,2
206,1
208,2
212,1
213,2
214,1
216,3
217,2
218,1
219,1
220,1
221,3
222,3
223,1
224,1
226,1
227,2
228,1
230,1
234,1
239,2
240,1
241,1
243,2
244,1
247,3
248,1
249,1
250,2
251,2
252,2
255,2
257,1
258,1
260,1
261,2
262,2
263,1
264,1
265,2
267,1
269,3
270,2
271,1
275,2
276,1
279,2
281,1
282,1
283,3
284,2
285,2
286,1
289,3
291,2
292,1
294,1
298,4
299,2
300,1
302,1
303,2
305,1
306,2
307,1
308,1
309,1
310,2
311,2
312,2
314,2
315,1
319,1
320,1
321,1
323,1
325,1
327,2
329,1
331,2
333,2
335,1
336,5
337,1
338,1
339,1
340,3
341,1
342,1
343,1
345,3
348,1
349,1
350,1
352,2
353,3
354,1
355,1
356,3
357,2
358,1
359,1
362,1
364,1
365,3
366,3
367,1
369,2
370,2
371,2
372,2
373,1
376,2
377,1
378,1
379,2
380,2
381,1
385,1
386,3
390,1
391,3
392,1
394,1
397,2
401,2
403,3
404,2
406,1
408,2
410,1
411,1
413,2
414,2
415,1
416,1
418,2
419,3
420,2
421,1
424,3
425,1
426,1
428,1
429,1
431,2
432,2
433,1
434,1
435,2
436,1
438,1
439,3
440,1
441,1
442,1
443,1
444,5
445,2
447,2
448,1
450,1
451,1
452,2
453,3
455,1
457,2
458,2
459,1
460,2
461,1
463,1
464,3
465,1
466,1
470,2
471,1
472,3
473,1
474,3
476,1
477,3
478,1
480,2
481,2
483,1
484,1
485,1
488,2
489,1
492,1
493,3
494,3
498,1
499,1
500,1
501,2
502,1
504,1
505,2
507,3
508,1
510,2
512,1
513,1
514,1
516,2
517,1
518,1
520,2
522,3
523,2
525,2
526,1
527,2
528,1
529,2
530,1
531,1
532,3
534,1
535,1
536,1
537,3
539,2
543,3
544,1
545,1
546,1
547,2
548,1
549,1
550,3
552,2
555,1
556,3
558,1
559,3
561,2
562,1
563,1
565,2
566,2
567,2
568,1
570,3
574,1
575,1
576,1
577,2
578,2
579,4
580,2
581,2
582,1
583,1
584,1
585,3
586,1
587,1
588,1
590,1
591,3
592,1
594,1
595,4
596,2
597,2
599,2
600,1
602,3
603,1
605,2
606,1
607,2
608,1
609,1
611,2
612,1
615,1
616,1
617,1
619,2
622,2
623,1
624,3
625,3
627,1
628,3
630,1
632,1
634,1
635,2
637,1
638,1
640,4
641,1
645,2
647,1
648,3
649,2
650,2
651,1
655,1
656,1
657,1
658,1
659,1
660,2
661,2
662,1
663,1
665,2
666,3
668,2
671,1
672,1
673,1
674,1
678,1
679,3
680,2
681,2
684,2
685,2
686,3
687,3
688,1
689,1
690,5
691,1
692,3
695,1
696,1
698,1
699,1
700,1
704,1
705,1
707,2
708,1
711,2
713,1
714,1
715,2
716,1
718,4
719,1
720,3
722,1
724,2
725,1
726,1
727,1
728,1
729,2
730,1
731,1
732,1
733,2
734,1
739,2
740,1
741,1
742,1
743,1
745,2
746,2
747,1
749,2
750,1
751,1
754,4
755,2
756,2
757,3
758,1
759,2
761,3
762,1
763,1
764,2
765,2
766,5
767,2
768,2
769,1
770,1
771,3
773,2
776,1
777,3
780,4
781,2
783,2
784,1
789,2
792,1
793,2
794,2
796,1
797,1
798,1
802,1
804,1
805,4
806,2
807,2
808,1
809,2
811,2
812,1
816,2
817,1
818,2
820,3
822,2
823,1
824,1
825,1
826,1
827,2
830,1
832,2
834,2
836,4
837,4
839,1
840,1
842,2
843,1
844,2
845,2
846,2
848,1
849,1
850,2
852,1
854,2
855,1
856,4
857,1
859,1
860,2
862,1
863,2
865,1
867,1
869,1
870,2
872,1
874,2
875,2
876,1
878,1
879,1
880,3
881,2
883,1
885,1
887,2
888,1
891,1
892,2
893,2
894,1
896,1
898,1
899,1
901,2
902,1
903,1
904,1
906,1
907,1
908,1
909,4
910,1
912,1
913,1
914,1
917,3
920,4
921,2
922,2
925,2
926,2
927,2
929,4
931,1
933,1
934,1
935,1
936,1
937,1
938,1
941,2
943,3
945,1
947,2
948,1
949,1
950,1
952,2
953,2
954,2
956,2
957,1
960,2
961,2
962,2
963,2
964,2
966,2
968,2
969,4
973,2
974,1
976,1
977,1
978,1
979,2
980,2
981,2
983,3
987,2
988,1
989,2
990,3
992,2
994,2
995,1
996,2
998,1
999,3
1000,2
1001,1
1003,2
1004,1
1008,1
1010,1
1012,2
1013,1
1017,2
1019,1
1020,2
1021,1
1023,1
1024,1
1026,3
1027,1
1028,3
1029,4
1030,1
1031,1
1032,1
1033,1
1035,2
1037,1
