hash,quantity
0,3
2,2
4,2
5,1
6,2
7,1
8,2
9,2
10,1
11,2
12,3
13,1
14,1
15,2
17,1
18,4
19,1
20,2
21,1
22,1
26,1
28,2
29,1
30,1
31,1
33,4
35,2
37,1
38,2
39,2
40,1
41,1
42,1
43,2
45,1
51,2
52,1
54,2
55,2
56,3
57,2
60,1
61,1
62,1
63,2
64,3
65,3
66,3
67,1
68,2
69,2
70,3
71,1
72,1
73,1
74,1
75,1
76,3
78,1
79,1
80,1
81,2
83,1
85,2
86,3
87,1
88,1
89,3
90,1
91,1
92,1
93,2
94,4
95,2
96,1
97,3
99,2
100,2
103,1
104,3
105,3
106,1
107,1
108,1
109,2
111,2
113,2
114,2
115,1
116,1
117,2
118,2
119,5
121,1
122,1
123,3
126,1
128,3
129,1
130,1
133,2
136,1
138,1
141,1
142,1
145,1
146,1
150,1
151,1
153,2
154,1
159,2
160,1
161,1
163,1
164,3
165,1
168,2
170,1
174,1
175,3
176,2
177,1
178,2
179,3
180,1
181,1
182,1
183,1
184,2
185,2
186,1
187,2
188,4
189,3
190,3
191,1
192,1
194,2
195,1
196,3
197,2
198,1
199,1
200,2
201,1
202,1
203,1
204,2
205,1
206,1
208,1
209,1
210,2
211,3
212,1
213,1
216,3
217,1
219,1
220,1
221,4
222,1
223,2
224,1
225,1
226,1
228,1
229,1
232,2
234,1
235,4
236,2
238,1
239,1
240,4
241,2
242,2
243,2
245,2
247,1
248,2
251,3
252,3
253,1
254,1
255,2
258,2
260,1
262,1
264,1
265,2
266,1
267,1
268,3
269,1
270,1
271,1
273,1
274,3
276,1
277,1
279,1
281,2
283,1
284,1
287,1
288,3
289,1
290,2
292,2
294,1
295,3
296,3
298,1
300,2
301,3
302,1
303,1
305,1
307,2
308,2
309,3
311,4
312,1
314,1
315,2
316,1
317,1
318,3
320,4
321,1
324,1
326,1
330,3
331,1
332,1
333,1
334,3
335,2
340,2
342,2
344,1
346,1
348,1
350,1
351,1
352,1
353,2
355,1
356,1
357,2
358,3
362,2
363,1
364,1
367,1
371,1
372,1
376,1
379,1
380,1
381,1
382,1
385,1
386,3
387,1
389,3
390,1
391,1
392,2
393,2
394,3
396,1
399,1
400,1
401,1
402,3
403,2
405,1
406,3
407,1
408,3
409,2
410,1
412,1
414,3
415,2
416,1
417,1
418,2
419,4
420,2
421,1
422,2
423,3
424,1
426,3
427,2
430,1
432,1
433,3
434,2
435,1
436,3
437,2
440,1
441,5
442,1
443,1
444,2
446,2
447,1
448,1
450,1
451,2
452,1
453,1
455,2
456,2
459,4
460,1
461,2
465,2
466,1
467,3
468,1
469,2
470,4
472,1
474,1
475,2
476,3
480,2
481,1
482,2
483,2
484,4
487,2
488,1
489,1
491,1
492,1
493,2
494,1
497,2
499,1
501,1
503,2
505,2
506,2
509,3
510,2
511,2
512,1
514,1
517,1
520,2
521,1
522,3
523,1
525,2
527,3
528,5
531,1
532,1
533,2
535,1
536,1
537,2
538,2
539,1
540,2
542,1
543,1
544,3
546,2
547,2
549,1
550,2
551,2
552,3
553,1
554,2
556,3
558,1
560,1
561,3
562,1
564,1
565,2
568,3
569,2
570,1
571,1
