hash,quantity
0,4
1,3
2,1
3,2
4,3
5,2
6,7
7,5
8,3
9,4
10,2
11,7
12,5
13,3
14,6
15,2
16,2
17,2
18,3
19,3
20,4
21,1
22,3
23,2
24,6
25,2
26,1
27,4
28,1
29,2
30,2
31,1
32,1
33,3
34,5
35,1
36,3
37,1
38,1
39,4
41,3
42,2
43,1
44,1
45,5
46,1
47,4
48,1
49,5
51,8
52,4
53,3
54,2
55,1
56,2
57,5
58,4
59,3
60,3
61,3
62,5
63,1
64,3
66,4
67,4
68,3
69,3
70,5
71,2
72,1
73,2
74,2
75,7
76,3
77,1
78,3
79,1
80,5
81,3
82,1
83,1
84,4
85,2
86,4
87,3
88,2
89,3
90,3
91,1
92,1
93,5
94,3
95,3
96,3
97,6
98,5
99,7
100,3
101,5
102,4
103,3
104,2
105,8
106,2
107,6
108,4
109,4
110,10
111,8
112,7
113,4
114,8
115,8
116,6
117,4
118,5
119,4
120,5
121,6
122,2
123,2
124,2
126,2
127,2
128,4
129,5
130,3
131,7
132,11
133,1
134,3
135,5
136,4
137,10
138,4
139,9
140,3
141,16
142,7
143,4
144,6
145,3
146,4
147,5
148,4
149,5
150,4
151,5
152,4
153,6
154,3
155,2
156,3
157,8
158,7
159,6
160,5
161,7
162,10
163,5
164,6
165,7
166,20
167,8
168,6
169,18
170,15
171,5
172,15
173,12
174,14
175,14
176,19
177,6
178,15
179,4
180,6
181,18
182,14
183,9
184,9
185,13
186,12
187,12
188,14
189,9
190,15
191,6
192,1
193,1
194,2
195,5
196,2
197,2
198,2
199,2
200,4
201,1
202,1
203,5
204,1
205,2
206,4
207,4
208,2
210,3
211,3
212,4
213,1
214,2
215,2
216,2
217,1
218,3
219,2
220,1
221,3
222,3
223,2
224,3
226,1
227,2
228,4
230,3
231,3
232,1
233,3
234,2
235,2
236,1
237,3
238,1
239,1
240,3
241,3
242,3
243,2
244,1
245,4
246,2
248,3
249,6
250,4
251,3
252,4
253,3
254,6
256,9
257,10
258,19
259,7
260,29
261,19
262,17
263,13
264,4
265,31
266,16
267,12
268,12
269,22
270,17
271,11
272,21
273,23
274,14
275,10
276,8
277,12
278,19
279,7
280,5
281,16
282,10
283,9
284,15
285,14
286,11
287,13
288,9
289,13
290,12
291,5
292,23
293,8
294,6
295,11
296,5
297,18
298,10
299,4
300,13
301,11
302,14
303,8
304,13
305,9
306,18
307,13
308,4
309,17
310,11
311,17
312,18
313,17
314,26
315,16
316,21
317,15
318,8
319,14
321,4
322,2
323,2
324,3
325,3
326,9
327,2
329,6
330,1
331,2
332,2
333,3
334,3
335,2
336,2
337,3
338,1
339,2
340,2
341,4
342,3
343,4
344,4
345,4
346,5
347,2
348,1
349,2
350,6
352,9
353,7
354,4
355,5
356,3
357,2
358,14
359,7
360,5
361,7
362,11
363,2
364,4
365,5
366,5
367,6
368,3
369,9
370,6
371,5
372,4
373,8
374,1
375,9
376,7
377,7
378,4
379,6
380,6
381,5
382,12
383,2
384,1
385,1
386,1
387,2
389,1
390,6
391,3
393,3
394,1
395,1
396,3
398,4
400,1
401,1
402,2
403,3
404,1
405,1
406,4
407,1
408,1
409,1
411,2
412,3
413,1
414,2
415,4
416,2
417,2
418,2
419,1
420,3
421,2
422,3
424,3
425,3
426,2
428,3
430,4
431,3
432,1
433,2
436,3
437,4
438,3
439,1
440,4
441,1
442,2
443,4
444,3
446,1
448,1
449,3
450,1
451,1
452,2
453,2
454,1
455,1
457,4
458,2
459,2
460,2
461,2
462,3
463,2
464,2
465,2
466,4
467,1
468,2
469,1
471,1
472,1
473,3
474,3
475,2
476,1
477,2
479,3
480,1
481,3
484,1
485,1
486,3
487,1
489,1
490,1
491,4
492,1
493,2
494,2
495,1
496,4
497,2
498,3
499,1
500,2
501,2
502,2
503,1
504,2
506,3
508,1
509,2
510,3
511,1
512,7
513,6
514,8
515,1
516,9
517,3
518,7
519,5
520,8
521,7
522,9
523,5
524,4
525,2
526,7
527,8
528,3
529,5
530,4
531,7
532,9
533,3
534,5
535,2
536,5
537,5
538,3
539,5
540,6
541,6
542,11
543,1
544,2
545,6
546,6
547,6
548,5
549,8
550,5
551,2
552,4
553,5
554,2
555,3
556,12
557,7
558,10
559,11
560,7
561,7
562,6
563,8
564,4
565,4
566,3
567,4
568,3
569,8
570,7
571,6
572,8
573,5
574,9
575,4
576,7
577,13
578,4
579,5
580,9
581,6
582,7
583,11
584,8
585,11
586,5
587,4
588,7
589,10
590,9
591,4
592,5
593,7
594,9
595,4
596,7
597,11
598,5
599,2
600,8
601,8
602,6
603,3
604,8
605,4
606,5
607,10
608,10
609,7
610,11
611,3
612,12
613,6
614,6
615,4
616,4
617,15
618,7
619,7
620,9
621,8
622,9
623,7
624,17
625,10
626,6
627,6
628,8
629,9
630,13
631,7
632,5
633,7
634,5
635,3
636,6
637,13
638,4
639,14
640,5
641,8
642,4
643,4
644,7
645,2
646,2
647,3
648,1
649,3
650,3
651,4
652,5
653,3
654,7
655,5
656,6
657,7
658,5
659,1
660,5
661,6
662,4
663,5
664,8
665,11
666,6
667,3
668,4
669,7
670,1
671,4
672,8
673,6
674,6
675,4
676,2
677,9
678,4
679,5
680,5
681,7
682,5
683,5
684,16
685,4
686,7
687,7
688,4
689,3
690,8
691,3
692,3
693,4
694,2
695,7
696,5
697,10
698,4
699,1
700,3
701,3
702,8
703,4
704,2
705,2
706,1
708,3
709,2
711,1
712,3
713,1
714,3
715,4
716,3
717,2
718,2
719,1
720,2
723,2
724,1
725,5
726,3
727,1
728,4
729,2
730,2
731,3
733,2
734,3
735,2
737,3
738,5
739,4
741,1
742,1
743,1
745,6
749,3
751,1
752,1
753,3
754,5
755,6
756,4
757,3
758,3
760,5
761,3
764,3
765,6
766,1
769,1
770,1
772,2
777,1
779,1
781,1
782,2
784,1
785,2
791,1
793,3
800,1
803,3
804,1
806,2
807,3
808,2
809,1
810,1
811,4
812,2
816,2
817,3
820,1
822,1
823,2
824,2
826,1
828,2
829,1
830,2
831,1
833,2
837,2
838,1
840,1
841,3
842,1
843,1
844,1
845,1
846,2
847,1
848,2
849,2
851,1
856,2
859,1
860,1
862,1
863,1
864,3
866,1
868,2
869,1
871,2
872,1
873,1
875,1
876,1
877,3
880,1
884,1
888,1
890,2
892,1
894,1
896,1
898,1
899,1
900,1
901,1
903,2
905,1
906,1
907,1
908,1
910,1
911,1
912,1
915,2
916,2
918,1
919,2
921,1
922,1
924,1
926,3
927,1
928,1
929,2
931,2
932,1
935,1
936,2
938,1
940,1
941,3
942,1
944,2
945,2
947,1
953,2
956,1
958,1
960,3
961,1
963,1
964,1
966,1
970,1
971,1
972,3
974,1
976,1
980,1
986,1
990,1
991,2
993,1
994,1
996,2
997,1
1003,2
1005,1
1006,2
1009,1
1011,1
1017,2
1018,1
1024,6
1025,5
1027,1
1028,5
1029,5
1030,2
1031,3
1032,8
1033,3
1034,2
1036,4
1037,2
1038,3
1039,2
1040,1
1041,1
1042,4
1043,4
1044,2
1045,5
1046,3
1047,3
1048,2
1049,4
1050,8
1051,2
1052,4
1053,8
1054,3
1055,2
1056,3
1057,4
1058,2
1059,2
1060,8
1061,3
1062,3
1064,8
1065,10
1066,2
1067,1
1068,2
1069,5
1070,1
1071,1
1072,3
1073,4
1074,1
1075,3
1076,2
1077,1
1078,2
1079,5
1080,4
1081,6
1082,2
1083,1
1084,1
1085,6
1086,3
1087,2
1088,3
1089,5
1090,4
1091,2
1092,7
1093,3
1094,2
1095,2
1096,5
1097,8
1098,3
1099,4
1100,5
1101,5
1102,3
1103,6
1104,4
1105,1
1107,7
1108,3
1109,5
1110,8
1111,7
1112,4
1113,3
1115,5
1116,2
1117,4
1118,6
1119,5
1120,7
1121,6
1122,1
1123,3
1124,3
1125,3
1126,5
1127,1
1128,5
1129,4
1130,2
1131,1
1132,7
1133,3
1134,3
1135,1
1136,8
1137,6
1138,3
1139,5
1140,9
1141,6
1142,1
1143,2
1144,2
1145,4
1146,3
1147,4
1148,7
1149,7
1150,4
1151,4
1152,3
1153,4
1154,1
1155,5
1156,5
1157,3
1158,4
1159,1
1160,4
1161,5
1162,3
1163,2
1164,4
1165,2
1166,1
1167,2
1168,7
1169,3
1170,2
1171,2
1172,8
1173,5
1174,2
1175,2
1176,4
1177,6
1178,4
1179,5
1180,4
1181,10
1182,3
1183,4
1184,6
1185,2
1186,3
1187,5
1188,5
1189,1
1190,3
1191,1
1192,8
1193,3
1194,5
1195,3
1196,3
1197,4
1198,4
1199,2
1200,6
1201,2
1202,2
1203,3
1204,8
1205,5
1206,2
1207,2
1208,3
1209,4
1210,3
1211,3
1212,4
1213,5
1214,2
1215,4
1217,5
1218,2
1220,6
1221,5
1222,1
1223,3
1224,5
1226,10
1227,5
1228,4
1229,5
1230,2
1231,2
1232,1
1233,6
1234,3
1235,5
1236,3
1237,4
1238,5
1239,4
1240,4
1241,2
1242,3
1243,1
1244,3
1245,9
1246,4
1247,1
1248,6
1249,4
1250,3
1251,3
1252,6
1253,8
1254,4
1255,3
1256,2
1257,7
1258,7
1259,2
1260,4
1261,6
1262,5
1263,5
1264,5
1265,1
1266,3
1268,12
1269,4
1270,1
1271,6
1272,5
1273,6
1274,6
1275,3
1276,7
1277,3
1278,8
1279,3
1280,2
1281,4
1282,1
1283,1
1284,5
1285,3
1286,3
1287,2
1288,2
1289,7
1290,2
1291,2
1292,3
1293,3
1295,2
1298,3
1299,2
1300,3
1301,1
1302,1
1303,1
1304,3
1305,1
1306,1
1308,6
1309,5
1310,2
1311,3
1312,3
1313,5
1314,3
1315,1
1316,2
1317,1
1318,4
1319,1
1320,5
1321,4
1322,1
1323,1
1324,1
1325,2
1326,2
1329,3
1330,3
1332,3
1333,1
1334,1
1335,3
1336,1
1337,2
1338,2
1339,1
1340,5
1341,2
1342,6
1343,3
1344,3
1345,2
1347,4
1348,4
1349,1
1350,2
1351,4
1352,4
1353,2
1354,4
1356,3
1357,2
1358,1
1359,2
1360,6
1361,3
1362,2
1363,2
1364,3
1365,1
1366,2
1368,1
1369,2
1370,3
1371,1
1372,2
1373,2
1375,1
1376,3
1377,1
1379,2
1380,1
1382,3
1384,1
1385,1
1386,1
1387,3
1388,2
1389,1
1390,2
1392,2
1393,3
1394,1
1395,1
1397,1
1398,2
1399,3
1400,3
1402,3
1403,1
1404,2
1405,2
1406,1
1407,3
1408,2
1409,1
1410,2
1411,1
1412,1
1414,1
1417,2
1418,2
1420,2
1421,2
1423,2
1424,3
1427,2
1429,1
1430,1
1432,4
1433,4
1435,2
1436,4
1437,3
1438,3
1440,3
1442,2
1443,3
1444,1
1445,3
1446,1
1447,4
1448,2
1451,2
1452,5
1453,1
1454,2
1455,1
1457,3
1458,1
1460,2
1462,2
1463,1
1464,1
1466,2
1467,1
1469,3
1471,3
1472,2
1474,1
1475,1
1476,1
1477,3
1478,1
1479,2
1480,1
1481,2
1482,2
1483,1
1484,3
1486,3
1487,4
1488,1
1489,2
1490,1
1492,1
1493,1
1494,1
1495,2
1496,3
1497,5
1498,2
1499,1
1500,1
1502,1
1503,5
1504,3
1507,1
1509,2
1510,1
1511,1
1512,4
1513,1
1514,1
1515,2
1517,1
1519,1
1520,3
1521,4
1522,3
1523,1
1524,2
1525,1
1526,1
1527,1
1529,2
1530,1
1531,1
1532,2
1533,3
1534,2
1536,1
1537,3
1538,2
1543,1
1544,1
1546,1
1548,3
1550,2
1552,1
1553,2
1554,1
1557,1
1559,1
1560,1
1561,1
1562,1
1570,2
1571,2
1575,1
1578,1
1579,1
1580,2
1584,2
1587,1
1588,2
1589,1
1597,2
1598,1
1601,1
1602,1
1603,1
1605,1
1606,2
1611,2
1612,1
1616,1
1617,2
1619,2
1627,1
1628,2
1632,1
1635,2
1636,1
1637,1
1639,2
1640,1
1642,4
1643,2
1644,2
1645,1
1647,3
1651,3
1654,1
1655,1
1656,1
1660,2
1661,1
1663,1
1664,1
1665,3
1666,1
1667,1
1668,3
1671,1
1674,2
1675,1
1677,3
1679,1
1681,3
1685,1
1687,1
1688,1
1694,1
1695,2
1698,1
1700,1
1701,1
1705,1
1708,1
1709,1
1719,2
1720,1
1724,1
1725,1
1726,1
1738,1
1740,1
1741,1
1745,1
1749,1
1753,1
1757,2
1758,2
1760,1
1761,1
1763,1
1766,2
1769,3
1771,1
1772,2
1773,1
1774,1
1776,1
1778,3
1780,3
1781,1
1784,1
1785,2
1793,3
1794,2
1795,1
1796,1
1797,1
1799,1
1800,1
1804,1
1805,1
1806,1
1807,1
1808,2
1809,2
1810,1
1812,1
1814,1
1815,1
1817,1
1819,1
1820,1
1821,1
1822,2
1823,1
1825,2
1826,2
1827,2
1830,3
1831,1
1832,1
1833,3
1834,1
1835,1
1837,1
1838,3
1842,2
1843,1
1844,1
1845,1
1846,1
1848,1
1849,1
1850,2
1853,1
1856,1
1858,4
1859,2
1860,1
1861,1
1863,1
1864,2
1865,1
1867,2
1870,1
1871,1
1872,1
1873,1
1874,3
1875,1
1877,1
1879,1
1880,2
1881,1
1882,1
1883,1
1887,2
1888,1
1889,1
1890,1
1891,2
1892,2
1893,3
1894,1
1897,2
1898,2
1899,1
1900,3
1902,2
1903,2
1905,3
1906,2
1907,1
1908,1
1910,1
1914,2
1916,1
1918,1
1919,1
1920,1
1921,1
1922,1
1923,2
1924,1
1925,1
1926,2
1928,2
1931,2
1939,1
1941,3
1943,3
1944,1
1945,1
1946,1
1948,1
1951,1
1952,3
1955,1
1956,1
1957,2
1960,4
1961,2
1962,1
1964,1
1968,1
1970,1
1971,2
1972,2
1976,2
1977,1
1978,2
1980,4
1981,2
1984,3
1985,2
1986,1
1987,1
1988,1
1990,1
1991,2
1992,2
1993,1
1996,1
1998,2
1999,2
2000,3
2001,2
2002,1
2003,2
2004,1
2007,1
2008,1
2009,3
2010,1
2013,1
2014,1
2015,1
2016,1
2019,2
2021,1
2022,1
2023,1
2027,1
2028,1
2029,4
2030,1
2031,1
2032,3
2035,1
2036,1
2037,2
2039,1
2040,3
2041,2
2043,1
2044,3
2045,5
2047,2
2048,2
2050,1
2051,1
2052,2
2053,1
2054,3
2056,8
2057,3
2058,3
2059,1
2060,1
2061,4
2062,3
2063,4
2064,4
2065,2
2066,2
2067,1
2068,3
2070,2
2071,1
2072,4
2073,3
2074,1
2075,3
2076,2
2078,5
2079,2
2080,2
2081,1
2082,2
2083,1
2084,3
2085,3
2086,3
2088,1
2089,2
2090,2
2091,4
2092,2
2093,2
2094,2
2095,1
2096,5
2097,4
2098,4
2099,1
2100,2
2101,4
2102,3
2103,1
2104,2
2105,3
2106,2
2107,3
2108,1
2110,5
2111,4
2113,3
2114,1
2115,2
2116,1
2117,1
2118,1
2119,5
2120,4
2121,5
2122,2
2124,1
2125,2
2126,5
2127,3
2128,4
2129,3
2130,1
2131,1
2132,1
2133,2
2134,5
2135,1
2136,1
2137,2
2138,2
2140,1
2141,1
2142,3
2143,1
2144,2
2146,1
2147,2
2148,1
2149,2
2151,3
2152,6
2153,4
2154,3
2155,1
2156,1
2157,1
2158,4
2159,4
2160,2
2161,4
2162,2
2163,1
2164,3
2165,1
2166,3
2167,3
2168,2
2169,1
2170,3
2171,3
2172,7
2173,3
2174,4
2175,2
2176,1
2177,1
2179,1
2180,1
2181,4
2182,3
2183,3
2184,6
2185,3
2186,1
2187,3
2188,3
2189,2
2190,2
2191,3
2192,1
2193,5
2194,4
2195,5
2196,4
2197,6
2198,2
2199,3
2200,1
2201,4
2202,1
2203,3
2204,4
2205,4
2206,1
2207,5
2209,1
2210,2
2211,3
2212,2
2213,2
2214,3
2216,1
2217,1
2218,4
2219,3
2220,2
2221,1
2222,5
2223,4
2224,1
2225,1
2227,4
2228,3
2229,3
2230,3
2231,2
2232,2
2233,6
2234,3
2235,2
2236,1
2237,1
2238,1
2241,2
2242,2
2243,2
2244,3
2245,2
2246,4
2247,2
2248,2
2249,3
2251,4
2252,3
2253,2
2254,1
2255,4
2256,2
2257,2
2258,1
2259,2
2260,2
2261,2
2262,5
2263,1
2264,5
2265,1
2266,1
2267,2
2268,1
2269,2
2270,1
2271,5
2272,4
2273,3
2274,3
2275,1
2276,2
2277,2
2278,2
2280,2
2281,2
2282,1
2283,3
2284,7
2285,5
2286,2
2287,3
2288,2
2289,1
2290,2
2291,4
2292,5
2293,4
2297,3
2298,1
2301,1
2302,4
2303,4
2304,3
2305,3
2306,4
2308,1
2309,1
2310,4
2311,3
2312,4
2313,4
2314,4
2315,2
2316,3
2317,6
2318,4
2319,2
2321,4
2322,1
2323,2
2324,3
2325,5
2326,1
2327,1
2328,1
2329,2
2331,1
2332,5
2333,4
2334,1
2335,2
2336,1
2337,1
2338,2
2339,4
2340,2
2341,3
2342,1
2343,3
2344,4
2345,2
2346,1
