hash,quantity
0,6
1,2
2,2
4,1
5,6
6,3
7,3
10,3
11,3
12,3
13,2
14,4
15,4
16,2
18,2
19,2
20,4
21,3
22,2
23,3
24,2
30,1
33,3
34,1
36,1
39,1
41,1
42,2
43,1
44,1
45,3
46,2
47,1
48,2
49,1
52,1
53,2
55,1
58,1
59,1
60,2
61,1
63,2
64,18
65,19
66,7
67,6
68,11
69,14
70,11
71,6
72,12
73,9
74,14
75,21
76,12
77,10
78,10
79,15
80,5
81,6
82,12
83,9
84,10
85,9
86,5
87,11
88,9
89,11
90,5
91,17
92,13
93,7
94,6
95,9
97,6
98,3
99,3
100,1
101,7
102,4
103,4
104,4
105,4
106,3
107,5
109,2
110,4
111,5
112,7
113,1
114,6
115,7
116,5
118,1
119,3
120,2
121,3
124,1
125,1
126,2
129,1
130,2
131,2
132,1
133,1
134,2
135,2
138,1
139,1
142,3
143,3
146,1
148,1
149,3
150,2
151,1
152,2
155,1
157,4
158,5
159,6
160,4
161,2
162,7
163,4
164,5
165,2
166,4
167,3
168,6
169,2
170,4
171,6
172,8
173,6
174,5
175,2
176,8
177,4
178,4
179,4
180,6
181,3
183,5
184,3
185,5
186,1
187,4
188,3
190,1
191,1
192,3
194,1
196,2
197,1
198,1
200,1
201,1
202,1
203,1
205,1
207,2
208,2
212,2
213,1
214,1
215,1
216,2
218,2
219,1
220,1
225,1
229,1
232,1
234,2
239,1
248,2
250,14
251,6
252,4
253,6
254,6
255,10
256,10
257,8
258,4
259,10
260,9
261,6
262,1
263,14
264,9
265,11
266,5
267,5
268,7
269,7
270,14
271,3
272,13
273,7
274,4
275,5
276,2
277,2
278,2
279,5
280,2
281,4
282,2
284,2
286,2
287,2
288,1
289,1
291,2
292,1
293,2
294,1
296,2
297,1
300,1
302,1
305,2
306,2
307,1
308,3
309,1
310,1
313,2
314,2
315,1
319,2
320,2
321,2
323,4
324,1
325,1
326,2
327,3
328,2
329,1
330,5
331,3
332,4
334,3
335,2
336,1
337,3
338,2
339,2
340,2
341,1
343,1
344,1
345,1
346,3
347,2
349,3
352,1
353,3
354,2
356,1
360,2
361,1
362,1
364,2
365,1
366,1
367,4
368,1
369,1
370,1
371,2
372,2
373,1
378,1
379,1
380,1
384,2
387,1
394,2
395,1
396,1
397,1
399,1
409,1
410,2
411,3
412,1
413,4
414,3
415,5
417,2
418,1
419,5
420,4
421,1
422,1
423,4
424,1
425,3
426,1
427,2
428,3
430,5
431,1
432,2
433,3
434,1
435,1
436,1
437,2
439,3
441,1
442,4
443,1
444,4
447,2
448,1
450,1
453,2
454,1
457,3
458,1
459,2
461,2
462,2
463,1
465,1
474,2
475,1
476,2
477,1
479,5
480,3
481,6
482,6
483,9
484,4
485,8
486,7
487,7
488,3
489,7
490,9
491,8
492,14
493,9
494,5
495,4
496,13
497,5
498,6
499,5
500,8
501,6
502,5
503,5
504,5
505,6
506,2
507,3
508,5
509,4
510,2
511,1
512,1
513,3
514,1
515,3
516,2
517,1
518,2
519,1
521,1
522,2
523,2
525,2
527,1
528,2
530,1
532,2
536,1
537,1
539,1
540,2
541,1
542,1
543,1
546,1
548,2
552,1
555,1
559,1
560,1
561,1
564,1
566,1
567,1
569,1
571,1
572,7
573,5
574,8
575,6
576,3
577,1
578,3
579,1
580,3
581,8
582,5
583,6
584,6
585,5
586,5
587,6
588,13
589,7
590,8
591,11
592,2
593,7
594,6
595,7
596,3
597,2
598,2
599,4
601,1
602,3
603,2
606,3
607,1
608,3
609,2
